gene_pd,symbol_pd,description_pd,genetype_pd,ntranscripts_pd
LOC107071254,LOC107071254,galanin receptor type 1-like,PROTEIN_CODING,5
LOC107071257,LOC107071257,protein gooseberry-like,PROTEIN_CODING,1
LOC107071260,LOC107071260,pickpocket protein 28-like,PROTEIN_CODING,1
LOC107071266,LOC107071266,kinesin-related protein 11-like,PROTEIN_CODING,2
LOC107071270,LOC107071270,uncharacterized LOC107071270,PROTEIN_CODING,2
LOC107071271,LOC107071271,rho GTPase-activating protein 20-like,PROTEIN_CODING,4
LOC107071272,LOC107071272,serine/threonine-protein phosphatase 4 regulatory subunit 4-like,PROTEIN_CODING,2
LOC107071274,LOC107071274,testis-expressed sequence 2 protein,PROTEIN_CODING,4
LOC107071277,LOC107071277,ATP-dependent RNA helicase dbp2-like,PROTEIN_CODING,3
LOC107071278,LOC107071278,mitochondrial GTPase 1,PROTEIN_CODING,1
LOC107071283,LOC107071283,macoilin-1-like,PROTEIN_CODING,2
LOC107071286,LOC107071286,DNA repair protein XRCC3-like,PROTEIN_CODING,2
LOC107071293,LOC107071293,GTP-binding protein RAD-like,PROTEIN_CODING,1
LOC107071294,LOC107071294,voltage-dependent anion-selective channel-like,PROTEIN_CODING,1
LOC107071309,LOC107071309,peptidylprolyl isomerase domain and WD repeat-containing protein 1,PROTEIN_CODING,1
LOC107071314,LOC107071314,odorant receptor 13a-like,PROTEIN_CODING,1
LOC107071322,LOC107071322,CDK5 and ABL1 enzyme substrate 1,PROTEIN_CODING,3
LOC107071325,LOC107071325,replication factor C subunit 4,PROTEIN_CODING,3
LOC107071339,LOC107071339,activator of 90 kDa heat shock protein ATPase homolog 1,PROTEIN_CODING,1
LOC107071347,LOC107071347,mitochondrial tRNA-specific 2-thiouridylase 1,PROTEIN_CODING,2
LOC107071350,LOC107071350,triokinase/FMN cyclase-like,PROTEIN_CODING,1
LOC107071379,LOC107071379,RNA-binding protein pno1-like,PROTEIN_CODING,1
LOC107071384,LOC107071384,protein TSSC1,PROTEIN_CODING,1
LOC107071385,LOC107071385,RNA-binding protein pno1-like,PROTEIN_CODING,1
LOC107071389,LOC107071389,40S ribosomal protein S16-like,PROTEIN_CODING,1
LOC107071400,LOC107071400,bestrophin-4-like,PROTEIN_CODING,4
LOC107071418,LOC107071418,phospholipase DDHD1-like,PROTEIN_CODING,6
LOC107071425,LOC107071425,uncharacterized LOC107071425,PROTEIN_CODING,1
LOC107071427,LOC107071427,putative leucine-rich repeat-containing protein DDB_G0290503,PROTEIN_CODING,4
LOC107071441,LOC107071441,cationic amino acid transporter 2,PROTEIN_CODING,1
LOC107071447,LOC107071447,G-box-binding factor-like,PROTEIN_CODING,1
LOC107071460,LOC107071460,fatty acid synthase-like,PROTEIN_CODING,1
LOC107071466,LOC107071466,transmembrane protein 120 homolog,PROTEIN_CODING,1
LOC107071476,LOC107071476,protein Wnt-1-like,PROTEIN_CODING,2
LOC107071502,LOC107071502,putative U5 small nuclear ribonucleoprotein 200 kDa helicase,PROTEIN_CODING,2
LOC107071508,LOC107071508,zinc finger protein ZIC 3-like,PROTEIN_CODING,1
LOC107071512,LOC107071512,dentin sialophosphoprotein-like,PROTEIN_CODING,1
LOC107071521,LOC107071521,semaphorin-1A-like,PROTEIN_CODING,2
LOC107071532,LOC107071532,ADAMTS-like protein 4,PROTEIN_CODING,7
LOC107071533,LOC107071533,armadillo repeat-containing protein 6 homolog,PROTEIN_CODING,2
LOC107071535,LOC107071535,"rRNA methyltransferase 3, mitochondrial",PROTEIN_CODING,1
LOC107071552,LOC107071552,serendipity locus protein H-1-like,PROTEIN_CODING,1
LOC107071556,LOC107071556,endochitinase,PROTEIN_CODING,3
LOC107071564,LOC107071564,protein MANBAL,PROTEIN_CODING,1
LOC107071585,LOC107071585,regucalcin-like,PROTEIN_CODING,2
LOC107071586,LOC107071586,"pyruvate dehydrogenase protein X component, mitochondrial-like",PROTEIN_CODING,1
LOC107071594,LOC107071594,aminoacylase-1-like,PROTEIN_CODING,1
LOC107071599,LOC107071599,chymotrypsin-2,PROTEIN_CODING,1
LOC107071600,LOC107071600,nucleolar MIF4G domain-containing protein 1 homolog,PROTEIN_CODING,1
LOC107071602,LOC107071602,chymotrypsin-1-like,PROTEIN_CODING,1
LOC107071609,LOC107071609,arginine-glutamic acid dipeptide repeats protein,PROTEIN_CODING,11
LOC107071612,LOC107071612,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",PROTEIN_CODING,1
LOC107071615,LOC107071615,tripartite motif-containing protein 2-like,PROTEIN_CODING,2
LOC107071623,LOC107071623,lysozyme-like,PROTEIN_CODING,1
LOC107071627,LOC107071627,"coenzyme Q-binding protein COQ10 homolog B, mitochondrial",PROTEIN_CODING,1
LOC107071631,LOC107071631,basic helix-loop-helix transcription factor scleraxis,PROTEIN_CODING,1
LOC107071634,LOC107071634,tRNA pseudouridine synthase-like 1,PROTEIN_CODING,1
LOC107071635,LOC107071635,dual specificity protein phosphatase 19,PROTEIN_CODING,1
LOC107071655,LOC107071655,agrin-like,PROTEIN_CODING,14
LOC107071670,LOC107071670,uncharacterized LOC107071670,PROTEIN_CODING,2
LOC107071673,LOC107071673,tachykinin-like peptides receptor 86C,PROTEIN_CODING,1
LOC107071677,LOC107071677,MKI67 FHA domain-interacting nucleolar phosphoprotein,PROTEIN_CODING,1
LOC107071679,LOC107071679,endoplasmic reticulum aminopeptidase 2-like,PROTEIN_CODING,1
LOC107071680,LOC107071680,TWiK family of potassium channels protein 18,PROTEIN_CODING,1
LOC107071681,LOC107071681,aminopeptidase N-like,PROTEIN_CODING,6
LOC107071682,LOC107071682,aminopeptidase N,PROTEIN_CODING,1
LOC107071691,LOC107071691,putative carbonic anhydrase 3,PROTEIN_CODING,1
LOC107071692,LOC107071692,IQ domain-containing protein D-like,PROTEIN_CODING,1
LOC107071695,LOC107071695,laccase-like,PROTEIN_CODING,1
LOC107071701,LOC107071701,leucine-rich repeat-containing protein 70-like,PROTEIN_CODING,1
LOC107071705,LOC107071705,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",PROTEIN_CODING,1
LOC107071710,LOC107071710,transmembrane and TPR repeat-containing protein 1-like,PROTEIN_CODING,2
LOC107071711,LOC107071711,troponin C,PROTEIN_CODING,3
LOC107071712,LOC107071712,tyrosine-protein kinase Drl,PROTEIN_CODING,2
LOC107071719,LOC107071719,"type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase",PROTEIN_CODING,1
LOC107071724,LOC107071724,rho GTPase-activating protein 4-like,PROTEIN_CODING,4
LOC107071727,LOC107071727,E3 ubiquitin-protein ligase RNF123-like,PROTEIN_CODING,2
LOC107071736,LOC107071736,"glucose dehydrogenase [FAD, quinone]-like",PROTEIN_CODING,2
LOC107071740,LOC107071740,monoacylglycerol lipase ABHD12-like,PROTEIN_CODING,12
LOC107071781,LOC107071781,rhomboid-related protein 4-like,PROTEIN_CODING,1
LOC107071784,LOC107071784,S-phase kinase-associated protein 2-like,PROTEIN_CODING,2
LOC107071788,LOC107071788,U6 snRNA-associated Sm-like protein LSm5,PROTEIN_CODING,2
LOC107071791,LOC107071791,protein TIPIN homolog,PROTEIN_CODING,1
LOC107071797,LOC107071797,U6 snRNA-associated Sm-like protein LSm6,PROTEIN_CODING,2
LOC107071799,LOC107071799,protein SCAI,PROTEIN_CODING,2
LOC107071807,LOC107071807,glyoxylate reductase/hydroxypyruvate reductase-like,PROTEIN_CODING,3
LOC107071815,LOC107071815,DNA polymerase delta small subunit-like,PROTEIN_CODING,1
LOC107071816,LOC107071816,probable serine/threonine-protein kinase dyrk2,PROTEIN_CODING,2
LOC107071829,LOC107071829,homeobox protein extradenticle-like,PROTEIN_CODING,1
LOC107071838,LOC107071838,tumor necrosis factor receptor superfamily member 4-like,PROTEIN_CODING,1
LOC107071843,LOC107071843,nischarin-like,PROTEIN_CODING,1
LOC107071848,LOC107071848,prominin-like protein,PROTEIN_CODING,6
LOC107071864,LOC107071864,putative inorganic phosphate cotransporter,PROTEIN_CODING,1
LOC107071865,LOC107071865,uncharacterized LOC107071865,PROTEIN_CODING,3
LOC107071874,LOC107071874,ribosome biogenesis protein BOP1 homolog,PROTEIN_CODING,3
LOC107071877,LOC107071877,leucine-rich repeat-containing protein 24-like,PROTEIN_CODING,1
LOC107071884,LOC107071884,venom protease-like,PROTEIN_CODING,2
LOC107071890,LOC107071890,"succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial-like",PROTEIN_CODING,1
LOC107071892,LOC107071892,40S ribosomal protein S16,PROTEIN_CODING,1
LOC107071904,LOC107071904,gonadotropin-releasing hormone II receptor-like,PROTEIN_CODING,2
LOC107071910,LOC107071910,uncharacterized LOC107071910,PROTEIN_CODING,1
LOC107071911,LOC107071911,multidrug resistance-associated protein 4-like,PROTEIN_CODING,1
LOC107071921,LOC107071921,speckle targeted PIP5K1A-regulated poly(A) polymerase,PROTEIN_CODING,1
LOC107071922,LOC107071922,annexin B9-like,PROTEIN_CODING,6
LOC107071927,LOC107071927,transcription initiation factor TFIID subunit 6-like,PROTEIN_CODING,2
LOC107071934,LOC107071934,sodium-dependent neutral amino acid transporter B(0)AT3,PROTEIN_CODING,3
LOC107071938,LOC107071938,lisH domain and HEAT repeat-containing protein KIAA1468 homolog,PROTEIN_CODING,4
LOC107071944,LOC107071944,uncharacterized LOC107071944,PROTEIN_CODING,4
LOC107071946,LOC107071946,uncharacterized LOC107071946,PROTEIN_CODING,3
LOC107071950,LOC107071950,netrin receptor UNC5C-like,PROTEIN_CODING,4
LOC107071956,LOC107071956,long-chain-fatty-acid--CoA ligase 5,PROTEIN_CODING,2
LOC107071957,LOC107071957,bone morphogenetic protein 2-like,PROTEIN_CODING,1
LOC107071965,LOC107071965,contactin-4-like,PROTEIN_CODING,1
LOC107071973,LOC107071973,Down syndrome cell adhesion molecule-like protein Dscam2,PROTEIN_CODING,12
LOC107071980,LOC107071980,solute carrier family 41 member 1-like,PROTEIN_CODING,9
LOC107071981,LOC107071981,solute carrier family 41 member 1-like,PROTEIN_CODING,3
LOC107071983,LOC107071983,"FYVE, RhoGEF and PH domain-containing protein 4-like",PROTEIN_CODING,4
LOC107071986,LOC107071986,major facilitator superfamily domain-containing protein 1-like,PROTEIN_CODING,2
LOC107071988,LOC107071988,RNA exonuclease 1 homolog,PROTEIN_CODING,1
LOC107071989,LOC107071989,solute carrier family 41 member 3-like,PROTEIN_CODING,4
LOC107071993,LOC107071993,vacuolar protein sorting-associated protein 27-like,PROTEIN_CODING,5
LOC107071994,LOC107071994,osteoclast-stimulating factor 1-like,PROTEIN_CODING,1
LOC107072024,LOC107072024,frequenin-1,PROTEIN_CODING,1
LOC107072026,LOC107072026,BTB/POZ domain-containing protein 10,PROTEIN_CODING,3
LOC107072028,LOC107072028,F-BAR and double SH3 domains protein 2,PROTEIN_CODING,2
LOC107072032,LOC107072032,patched domain-containing protein 3-like,PROTEIN_CODING,1
LOC107072034,LOC107072034,speckle targeted PIP5K1A-regulated poly(A) polymerase-like,PROTEIN_CODING,2
LOC107072045,LOC107072045,uncharacterized LOC107072045,PROTEIN_CODING,1
LOC107072049,LOC107072049,phospholipase A1-like,PROTEIN_CODING,1
LOC107072050,LOC107072050,phospholipase A1-like,PROTEIN_CODING,1
LOC107072052,LOC107072052,phospholipase A1-like,PROTEIN_CODING,1
LOC107072053,LOC107072053,ribosomal RNA small subunit methyltransferase NEP1,PROTEIN_CODING,1
LOC107072055,LOC107072055,probable ATP-dependent RNA helicase DDX55 homolog,PROTEIN_CODING,1
LOC107072056,LOC107072056,ataxin-2 homolog,PROTEIN_CODING,2
LOC107072059,LOC107072059,T-box transcription factor TBX1,PROTEIN_CODING,1
LOC107072061,LOC107072061,ran-specific GTPase-activating protein-like,PROTEIN_CODING,2
LOC107072071,LOC107072071,"thioredoxin, mitochondrial",PROTEIN_CODING,1
LOC107072081,LOC107072081,UDP-glucose 4-epimerase-like,PROTEIN_CODING,2
LOC107072086,LOC107072086,phospholipase A1 2-like,PROTEIN_CODING,1
LOC107072087,LOC107072087,phospholipase A1 1,PROTEIN_CODING,1
LOC107072105,LOC107072105,venom serine carboxypeptidase,PROTEIN_CODING,1
LOC107072114,LOC107072114,uncharacterized LOC107072114,PROTEIN_CODING,4
LOC107072115,LOC107072115,A disintegrin and metalloproteinase with thrombospondin motifs 12-like,PROTEIN_CODING,3
LOC107072118,LOC107072118,A disintegrin and metalloproteinase with thrombospondin motifs 7-like,PROTEIN_CODING,1
LOC107072138,LOC107072138,aquaporin AQPAn.G,PROTEIN_CODING,2
LOC107072146,LOC107072146,RNA-binding protein 1-like,PROTEIN_CODING,3
LOC107072158,LOC107072158,double-stranded RNA-specific editase B2-like,PROTEIN_CODING,1
LOC107072166,LOC107072166,protein tyrosine phosphatase domain-containing protein 1-like,PROTEIN_CODING,2
LOC107072168,LOC107072168,cilia- and flagella-associated protein 70,PROTEIN_CODING,1
LOC107072176,LOC107072176,cell wall protein IFF6,PROTEIN_CODING,1
LOC107072180,LOC107072180,E3 ubiquitin-protein ligase RNF14-like,PROTEIN_CODING,1
LOC107072187,LOC107072187,putative uncharacterized protein DDB_G0277255,PROTEIN_CODING,3
LOC107072194,LOC107072194,Kv channel-interacting protein 1,PROTEIN_CODING,2
LOC107072207,LOC107072207,GATA zinc finger domain-containing protein 1,PROTEIN_CODING,5
LOC107072209,LOC107072209,homeotic protein empty spiracles-like,PROTEIN_CODING,1
LOC107072227,LOC107072227,U3 small nucleolar ribonucleoprotein protein IMP4,PROTEIN_CODING,1
LOC107072234,LOC107072234,calcineurin-binding protein cabin-1-like,PROTEIN_CODING,1
LOC107072238,LOC107072238,chaoptin,PROTEIN_CODING,1
LOC107072239,LOC107072239,jerky protein homolog-like,PROTEIN_CODING,1
LOC107072241,LOC107072241,homeobox protein invected-like,PROTEIN_CODING,2
LOC107072247,LOC107072247,"28S ribosomal protein S27, mitochondrial-like",PROTEIN_CODING,1
LOC107072249,LOC107072249,"glycine dehydrogenase (decarboxylating), mitochondrial",PROTEIN_CODING,1
LOC107072268,LOC107072268,chondroadherin-like protein,PROTEIN_CODING,4
LOC107072272,LOC107072272,"dynein beta chain, ciliary-like",PROTEIN_CODING,1
LOC107072273,LOC107072273,disrupted in renal carcinoma protein 2 homolog,PROTEIN_CODING,1
LOC107072289,LOC107072289,"oligoribonuclease, mitochondrial",PROTEIN_CODING,3
LOC107072293,LOC107072293,smoothelin-like protein 1,PROTEIN_CODING,1
LOC107072295,LOC107072295,Kv channel-interacting protein 2-like,PROTEIN_CODING,5
LOC107072299,LOC107072299,uncharacterized LOC107072299,PROTEIN_CODING,2
LOC107072300,LOC107072300,annexin B9-like,PROTEIN_CODING,1
LOC107072302,LOC107072302,"ATP synthase subunit epsilon, mitochondrial-like",PROTEIN_CODING,2
LOC107072309,LOC107072309,uncharacterized LOC107072309,PROTEIN_CODING,1
LOC107072317,LOC107072317,PAX3- and PAX7-binding protein 1,PROTEIN_CODING,3
LOC107072318,LOC107072318,"sodium/potassium/calcium exchanger 6, mitochondrial-like",PROTEIN_CODING,1
LOC107072325,LOC107072325,"succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial-like",PROTEIN_CODING,1
LOC107072326,LOC107072326,"28S ribosomal protein S9, mitochondrial-like",PROTEIN_CODING,6
LOC107072333,LOC107072333,ankyrin repeat family A protein 2-like,PROTEIN_CODING,2
LOC107072335,LOC107072335,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase-like",PROTEIN_CODING,1
LOC107072344,LOC107072344,acylamino-acid-releasing enzyme-like,PROTEIN_CODING,3
LOC107072350,LOC107072350,uncharacterized LOC107072350,PROTEIN_CODING,1
LOC107072351,LOC107072351,DNA primase large subunit-like,PROTEIN_CODING,1
LOC107072361,LOC107072361,protein no-on-transient A-like,PROTEIN_CODING,3
LOC107072371,LOC107072371,periodic tryptophan protein 2 homolog,PROTEIN_CODING,1
LOC107072384,LOC107072384,glycogen synthase kinase-3 beta-like,PROTEIN_CODING,8
LOC107072390,LOC107072390,"reticulon-4-interacting protein 1 homolog, mitochondrial-like",PROTEIN_CODING,3
LOC107072409,LOC107072409,dual specificity tyrosine-phosphorylation-regulated kinase 2-like,PROTEIN_CODING,1
LOC107072425,LOC107072425,"peptidyl-tRNA hydrolase 2, mitochondrial-like",PROTEIN_CODING,1
LOC107072439,LOC107072439,neprilysin-like,PROTEIN_CODING,3
LOC107072441,LOC107072441,putative ATP-dependent RNA helicase DHX30,PROTEIN_CODING,1
LOC107072444,LOC107072444,uncharacterized LOC107072444,PROTEIN_CODING,1
LOC107072449,LOC107072449,uncharacterized LOC107072449,PROTEIN_CODING,5
LOC107072455,LOC107072455,solute carrier family 12 member 8,PROTEIN_CODING,1
LOC107072458,LOC107072458,ras-related protein Rab-30-like,PROTEIN_CODING,1
LOC107072473,LOC107072473,U4/U6.U5 tri-snRNP-associated protein 1,PROTEIN_CODING,1
LOC107072485,LOC107072485,digestive organ expansion factor homolog,PROTEIN_CODING,1
LOC107072491,LOC107072491,EF-hand calcium-binding domain-containing protein 1,PROTEIN_CODING,1
LOC107072499,LOC107072499,U3 small nucleolar ribonucleoprotein protein IMP3,PROTEIN_CODING,1
LOC107072506,LOC107072506,"cytochrome c oxidase subunit 4 isoform 1, mitochondrial-like",PROTEIN_CODING,1
LOC107072512,LOC107072512,acetylcholinesterase 2,PROTEIN_CODING,1
LOC107072513,LOC107072513,ski oncogene,PROTEIN_CODING,1
LOC107072519,LOC107072519,venom allergen 5-like,PROTEIN_CODING,1
LOC107072522,LOC107072522,nuclear receptor subfamily 2 group E member 1-like,PROTEIN_CODING,2
LOC107072525,LOC107072525,uncharacterized LOC107072525,PROTEIN_CODING,2
LOC107072528,LOC107072528,serine/threonine-protein kinase ICK,PROTEIN_CODING,4
LOC107072530,LOC107072530,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3-like,PROTEIN_CODING,1
LOC107072567,LOC107072567,dnaJ protein homolog 1,PROTEIN_CODING,1
LOC107072574,LOC107072574,dystroglycan-like,PROTEIN_CODING,4
LOC107072597,LOC107072597,SAP30-binding protein,PROTEIN_CODING,3
LOC107072605,LOC107072605,pickpocket protein 11-like,PROTEIN_CODING,1
LOC107072615,LOC107072615,protein croquemort-like,PROTEIN_CODING,7
LOC107072619,LOC107072619,peptidyl-prolyl cis-trans isomerase NIMA-interacting 4,PROTEIN_CODING,2
LOC107072624,LOC107072624,mitochondrial intermediate peptidase,PROTEIN_CODING,1
LOC107072628,LOC107072628,galactoside 2-alpha-L-fucosyltransferase 3-like,PROTEIN_CODING,2
LOC107072631,LOC107072631,uncharacterized LOC107072631,PROTEIN_CODING,12
LOC107072635,LOC107072635,kinesin-like protein subito,PROTEIN_CODING,1
LOC107072645,LOC107072645,transcription initiation factor TFIID subunit 10-like,PROTEIN_CODING,6
LOC107072662,LOC107072662,modifier of mdg4-like,PROTEIN_CODING,4
LOC107072669,LOC107072669,SIFamide receptor,PROTEIN_CODING,1
LOC107072684,LOC107072684,neurocalcin-delta B-like,PROTEIN_CODING,1
LOC107072690,LOC107072690,PHD finger protein rhinoceros,PROTEIN_CODING,1
LOC107072695,LOC107072695,CXXC-type zinc finger protein 1-like,PROTEIN_CODING,1
LOC107072702,LOC107072702,peptidyl-prolyl cis-trans isomerase-like 4,PROTEIN_CODING,1
LOC107072707,LOC107072707,40S ribosomal protein S28-like,PROTEIN_CODING,1
LOC107072708,LOC107072708,leucine-rich repeat-containing protein 47-like,PROTEIN_CODING,1
LOC107072711,LOC107072711,carboxypeptidase N subunit 2-like,PROTEIN_CODING,1
LOC107072714,LOC107072714,paired mesoderm homeobox protein 2-like,PROTEIN_CODING,1
LOC107072715,LOC107072715,zinc finger protein 567-like,PROTEIN_CODING,1
LOC107072725,LOC107072725,ribosomal protein S6 kinase alpha-5,PROTEIN_CODING,3
LOC107072729,LOC107072729,F-box/WD repeat-containing protein 9-like,PROTEIN_CODING,1
LOC107072730,LOC107072730,"solute carrier family 52, riboflavin transporter, member 3-A-like",PROTEIN_CODING,1
LOC107072731,LOC107072731,"solute carrier family 52, riboflavin transporter, member 3-A-like",PROTEIN_CODING,2
LOC107072734,LOC107072734,uncharacterized LOC107072734,PROTEIN_CODING,1
LOC107072738,LOC107072738,zinc finger protein 267,PROTEIN_CODING,2
LOC107072760,LOC107072760,probable ATP-dependent RNA helicase ddx20,PROTEIN_CODING,1
LOC107072762,LOC107072762,neprilysin-21-like,PROTEIN_CODING,1
LOC107072766,LOC107072766,negative elongation factor B-like,PROTEIN_CODING,2
LOC107072783,LOC107072783,secretin receptor-like,PROTEIN_CODING,5
LOC107072789,LOC107072789,proton-coupled folate transporter,PROTEIN_CODING,4
LOC107072795,LOC107072795,F-box only protein 44-like,PROTEIN_CODING,3
LOC107072797,LOC107072797,patched domain-containing protein 3-like,PROTEIN_CODING,5
LOC107072807,LOC107072807,26S proteasome non-ATPase regulatory subunit 2-like,PROTEIN_CODING,1
LOC107072808,LOC107072808,serine/threonine-protein kinase 32A,PROTEIN_CODING,3
LOC107072812,LOC107072812,gem-associated protein 7-like,PROTEIN_CODING,1
LOC107072818,LOC107072818,CBP80/20-dependent translation initiation factor,PROTEIN_CODING,5
LOC107072825,LOC107072825,RNA-binding protein 24-B-like,PROTEIN_CODING,2
LOC107072830,LOC107072830,solute carrier organic anion transporter family member 2A1-like,PROTEIN_CODING,1
LOC107072843,LOC107072843,uncharacterized LOC107072843,PROTEIN_CODING,1
LOC107072847,LOC107072847,serine/threonine-protein kinase 16,PROTEIN_CODING,3
LOC107072856,LOC107072856,serine/threonine-protein kinase Nek5-like,PROTEIN_CODING,1
LOC107072857,LOC107072857,prolyl 3-hydroxylase 1-like,PROTEIN_CODING,2
LOC107072859,LOC107072859,nuclear RNA export factor 1-like,PROTEIN_CODING,1
LOC107072868,LOC107072868,uncharacterized LOC107072868,PROTEIN_CODING,1
LOC107072879,LOC107072879,testis-specific serine/threonine-protein kinase 3-like,PROTEIN_CODING,1
LOC107072881,LOC107072881,retinoid-inducible serine carboxypeptidase-like,PROTEIN_CODING,1
LOC107072906,LOC107072906,elongation of very long chain fatty acids protein AAEL008004-like,PROTEIN_CODING,2
LOC107072907,LOC107072907,retinoid-inducible serine carboxypeptidase-like,PROTEIN_CODING,1
LOC107072916,LOC107072916,putative N-acetylglucosamine-6-phosphate deacetylase,PROTEIN_CODING,1
LOC107072918,LOC107072918,probable phosphoserine aminotransferase,PROTEIN_CODING,1
LOC107072924,LOC107072924,zinc finger CCHC-type and RNA-binding motif-containing protein 1,PROTEIN_CODING,1
LOC107072925,LOC107072925,host cell factor 2-like,PROTEIN_CODING,3
LOC107072926,LOC107072926,acetyl-coenzyme A transporter 1,PROTEIN_CODING,1
LOC107072929,LOC107072929,gamma-tubulin complex component 2-like,PROTEIN_CODING,5
LOC107072931,LOC107072931,cationic amino acid transporter 4,PROTEIN_CODING,3
LOC107072934,LOC107072934,syntenin-1-like,PROTEIN_CODING,1
LOC107072935,LOC107072935,palmitoyltransferase ZDHHC6,PROTEIN_CODING,2
LOC107072951,LOC107072951,"cytochrome c1-2, heme protein, mitochondrial-like",PROTEIN_CODING,1
LOC107072953,LOC107072953,EF-hand calcium-binding domain-containing protein 1-like,PROTEIN_CODING,1
LOC107072957,LOC107072957,cdc42 homolog,PROTEIN_CODING,4
LOC107072959,LOC107072959,fibroblast growth factor 13-like,PROTEIN_CODING,2
LOC107072971,LOC107072971,"glutaryl-CoA dehydrogenase, mitochondrial",PROTEIN_CODING,1
LOC107072972,LOC107072972,caveolin-3-like,PROTEIN_CODING,1
LOC107072980,LOC107072980,probable ATP-dependent RNA helicase DDX10,PROTEIN_CODING,1
LOC107072984,LOC107072984,putative inositol monophosphatase 3,PROTEIN_CODING,1
LOC107072986,LOC107072986,sodium-independent sulfate anion transporter-like,PROTEIN_CODING,1
LOC107072995,LOC107072995,F-box/LRR-repeat protein 16,PROTEIN_CODING,1
LOC107073002,LOC107073002,hydroxypyruvate reductase,PROTEIN_CODING,2
LOC107073009,LOC107073009,phosphoribosyl pyrophosphate synthase-associated protein 2,PROTEIN_CODING,3
LOC107073012,LOC107073012,allatostatin-A receptor,PROTEIN_CODING,1
LOC107073014,LOC107073014,"cytochrome c oxidase subunit 5B, mitochondrial-like",PROTEIN_CODING,1
LOC107073033,LOC107073033,trypsin-like,PROTEIN_CODING,1
LOC107073036,LOC107073036,nucleoporin NUP53,PROTEIN_CODING,1
LOC107073045,LOC107073045,adenylate cyclase type 6,PROTEIN_CODING,3
LOC107073055,LOC107073055,leucine-rich repeat-containing protein C10orf11-like,PROTEIN_CODING,1
LOC107073058,LOC107073058,pyruvate kinase-like,PROTEIN_CODING,1
LOC107073067,LOC107073067,pyruvate kinase-like,PROTEIN_CODING,2
LOC107073074,LOC107073074,serine/threonine-protein kinase VRK1-like,PROTEIN_CODING,3
LOC107073080,LOC107073080,calpain-D-like,PROTEIN_CODING,1
LOC107073082,LOC107073082,Kv channel-interacting protein 1-like,PROTEIN_CODING,1
LOC107073089,LOC107073089,GTP-binding protein Di-Ras2,PROTEIN_CODING,1
LOC107073094,LOC107073094,kinesin-like protein KIF20A,PROTEIN_CODING,1
LOC107073097,LOC107073097,mitochondrial pyruvate carrier 2-like,PROTEIN_CODING,1
LOC107073101,LOC107073101,UPF0769 protein C21orf59 homolog,PROTEIN_CODING,1
LOC107073114,LOC107073114,ankyrin-3-like,PROTEIN_CODING,2
LOC107073123,LOC107073123,meiosis arrest female protein 1-like,PROTEIN_CODING,2
LOC107073125,LOC107073125,WAP four-disulfide core domain protein 3-like,PROTEIN_CODING,2
LOC107073129,LOC107073129,ribosome biogenesis regulatory protein homolog,PROTEIN_CODING,1
LOC107073131,LOC107073131,peptidyl-prolyl cis-trans isomerase NIMA-interacting 1-like,PROTEIN_CODING,1
LOC107073139,LOC107073139,2-aminoethanethiol dioxygenase,PROTEIN_CODING,1
LOC107073141,LOC107073141,uncharacterized LOC107073141,PROTEIN_CODING,2
LOC107073142,LOC107073142,uncharacterized protein C45G9.7,PROTEIN_CODING,1
LOC107073144,LOC107073144,LETM1 domain-containing protein 1,PROTEIN_CODING,1
LOC107073149,LOC107073149,sodium/potassium-transporting ATPase subunit beta-2-like,PROTEIN_CODING,1
LOC107073153,LOC107073153,histone-lysine N-methyltransferase 2D-like,PROTEIN_CODING,1
LOC107073155,LOC107073155,glycerophosphocholine phosphodiesterase GPCPD1-like,PROTEIN_CODING,3
LOC107073158,LOC107073158,"succinate dehydrogenase assembly factor 2, mitochondrial-like",PROTEIN_CODING,1
LOC107073159,LOC107073159,sodium/potassium-transporting ATPase subunit beta-2-like,PROTEIN_CODING,1
LOC107073162,LOC107073162,phospholipid scramblase 1-like,PROTEIN_CODING,1
LOC107073165,LOC107073165,sodium/potassium-transporting ATPase subunit beta-2-like,PROTEIN_CODING,1
LOC107073172,LOC107073172,breast cancer anti-estrogen resistance protein 3,PROTEIN_CODING,2
LOC107073173,LOC107073173,sodium- and chloride-dependent GABA transporter 1-like,PROTEIN_CODING,3
LOC107073174,LOC107073174,L-ascorbate oxidase-like,PROTEIN_CODING,3
LOC107073175,LOC107073175,uncharacterized LOC107073175,PROTEIN_CODING,1
LOC107073183,LOC107073183,"Rho-associated, coiled-coil containing protein kinase 2",PROTEIN_CODING,6
LOC107073185,LOC107073185,BTB/POZ domain-containing protein 6-like,PROTEIN_CODING,2
LOC107073187,LOC107073187,dnaJ homolog subfamily C member 21,PROTEIN_CODING,2
LOC107073191,LOC107073191,condensin complex subunit 2-like,PROTEIN_CODING,2
LOC107073194,LOC107073194,ATPase WRNIP1-like,PROTEIN_CODING,1
LOC107073203,LOC107073203,sodium-coupled monocarboxylate transporter 1-like,PROTEIN_CODING,1
