HOG	OG	gene_tree_parent_clade	change_node_130	branch_p_node_130	category_node_130	expanded_node_130	significantly_expanded_node_130	contracted_node_130	significantly_contracted_node_130	change_node_131	branch_p_node_131	category_node_131	expanded_node_131	significantly_expanded_node_131	contracted_node_131	significantly_contracted_node_131	change_node_135	branch_p_node_135	category_node_135	expanded_node_135	significantly_expanded_node_135	contracted_node_135	significantly_contracted_node_135	consensus_gene_name	consensus_method	consensus_evidence	Vespula_vulgaris_member_count	Vespula_vulgaris_gene_ids	Vespula_vulgaris_gene_symbols	Vespula_vulgaris_gene_names	Vespula_vulgaris_annotation_sources	Vespula_vulgaris_annotated_member_count	Polistes_dominula_member_count	Polistes_dominula_gene_ids	Polistes_dominula_gene_symbols	Polistes_dominula_gene_names	Polistes_dominula_annotation_sources	Polistes_dominula_annotated_member_count	Ancistrocerus_nigricornis_member_count	Ancistrocerus_nigricornis_gene_ids	Ancistrocerus_nigricornis_gene_symbols	Ancistrocerus_nigricornis_gene_names	Ancistrocerus_nigricornis_annotation_sources	Ancistrocerus_nigricornis_annotated_member_count	n_max	n_min	n_mean	differential	discarded_nonconverged	tested_in_final_cafe_model	large_family_model_attempted	exclusion_detail	chemosensory_family_flag
N0.HOG0000157	OG0000093	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	ZnF_C4 abd HLH domain containing kinases domain / transferase activity, transferring phosphorus-containing groups	weighted recurring annotation	transferase activity, transferring phosphorus-containing groups; ZnF_C4 abd HLH domain containing kinases domain; protein PTCD3 homolog, mitochondrial; protein PTCD3 homolog, mitochondrial; ZnF_C4 abd HLH domain containing kinases domain	4	LOC127061490; LOC127072173; LOC127072166; LOC127064400	LOC127061490; LOC127072173; LOC127072166; LOC127064400	transferase activity, transferring phosphorus-containing groups; ZnF_C4 abd HLH domain containing kinases domain; protein PTCD3 homolog, mitochondrial	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback; NCBI: vv_genetable.csv	4	5	LOC107066531; LOC107069638; LOC107069636; LOC107066107; LOC107068536	LOC107066531; LOC107069638; LOC107069636; LOC107066107; LOC107068536	transferase activity, transferring phosphorus-containing groups; ZnF_C4 abd HLH domain containing kinases domain; protein PTCD3 homolog, mitochondrial	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback; NCBI: pd_genetable.csv	5	3	ENSANRG00005007790; ENSANRG00005008557; ENSANRG00005009413	LOC107066531; LOC127061490; CG14314; LOC107069636; LOC107069638; LOC127072166; LOC127072173; CG2004; LOC107066107; LOC107068536; LOC127064400	transferase activity, transferring phosphorus-containing groups; protein PTCD3 homolog, mitochondrial; ZnF_C4 abd HLH domain containing kinases domain; ZnF_C4 abd HLH domain containing kinases domain	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris; OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	3	20	2	3.72222222222222	18	FALSE	TRUE	FALSE		FALSE
N0.HOG0000159	OG0000095	n0	-2	0.00775236	significantly contracted	FALSE	FALSE	TRUE	TRUE	0	0.621711	unchanged	FALSE	FALSE	FALSE	FALSE	-1	0.135446	contracted	FALSE	FALSE	TRUE	FALSE	unannotated HOG	no usable local annotation		0					0	0					0	8	ENSANRG00005009200; ENSANRG00005010473; ENSANRG00005009042; ENSANRG00005009053; ENSANRG00005008164; ENSANRG00005008845; ENSANRG00005010061; ENSANRG00005008156				0	35	1	5.47916666666667	34	FALSE	TRUE	FALSE		FALSE
N0.HOG0000171	OG0000104	n0	-2	0.00485629	significantly contracted	FALSE	FALSE	TRUE	TRUE	-1	0.130481	contracted	FALSE	FALSE	TRUE	FALSE	0	0.562817	unchanged	FALSE	FALSE	FALSE	FALSE	Alcohol dehydrogenase transcription factor Myb/SANT-like / MADF	weighted recurring annotation	MADF; Alcohol dehydrogenase transcription factor Myb/SANT-like; transcription factor Adf-1-like	3	LOC127064498; LOC127070665; LOC127069241	LOC127064498; LOC127070665; LOC127069241	MADF; Alcohol dehydrogenase transcription factor Myb/SANT-like; transcription factor Adf-1-like	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback; NCBI: vv_genetable.csv	3	1	LOC107074140	LOC107074140	MADF	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	6	ENSANRG00005004979; ENSANRG00005010921; ENSANRG00005006136; ENSANRG00005006796; ENSANRG00005009775; ENSANRG00005008032	CG13204; LOC127070665; CG13204; LOC107074140; LOC127064498; CG12768	Alcohol dehydrogenase transcription factor Myb/SANT-like; MADF	OrthoFinder orthology transfer from: Drosophila_melanogaster; Vespula_vulgaris; OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris; OrthoFinder orthology transfer from: Drosophila_melanogaster	6	19	1	3.92063492063492	18	FALSE	TRUE	FALSE		FALSE
N0.HOG0000179	OG0000112	n0	0	0.600617	unchanged	FALSE	FALSE	FALSE	FALSE	2	0.0123469	significantly expanded	TRUE	TRUE	FALSE	FALSE	0	0.589724	unchanged	FALSE	FALSE	FALSE	FALSE	leucine-rich repeat-containing protein 15-like / osteomodulin-like	weighted recurring annotation	leucine-rich repeat-containing protein 15-like; leucine-rich repeat-containing protein 70-like; leucine-rich repeat-containing protein let-4-like; osteomodulin-like; toll-like receptor 13; protein phosphatase 1 regulatory subunit pprA-like; toll-like receptor 13; osteomodulin-like; leucine-rich repeat-containing protein let-4-like; leucine-rich repeat-containing protein 15-like; protein phosphatase 1 regulatory subunit pprA-like; leucine-rich repeat-containing protein 70-like; leucine-rich repeat-containing protein 15-like	3	LOC127062354; LOC127062787; LOC127062352	LOC127062354; LOC127062787; LOC127062352	leucine-rich repeat-containing protein 15-like; leucine-rich repeat-containing protein 70-like	NCBI: vv_genetable.csv	3	4	LOC107068551; LOC107068427; LOC107068013; LOC107068012	LOC107068551; LOC107068427; LOC107068013; LOC107068012	leucine-rich repeat-containing protein let-4-like; osteomodulin-like; toll-like receptor 13; protein phosphatase 1 regulatory subunit pprA-like	NCBI: pd_genetable.csv	4	2	ENSANRG00005006626; ENSANRG00005006741	CG8852; LOC107068013; LOC107068427; LOC107068551; LOC127062354; CG8852; LOC107068012; LOC127062352; LOC127062787	toll-like receptor 13; osteomodulin-like; leucine-rich repeat-containing protein let-4-like; leucine-rich repeat-containing protein 15-like; protein phosphatase 1 regulatory subunit pprA-like; leucine-rich repeat-containing protein 70-like; leucine-rich repeat-containing protein 15-like	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	2	13	1	3.41428571428571	12	FALSE	TRUE	FALSE		FALSE
N0.HOG0000183	OG0000116	n1	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	sallimus / titin-like	weighted recurring annotation	titin-like; sallimus; titin-like; sallimus	0					0	2	LOC107073883; LOC107074638	LOC107073883; sls	titin-like; sallimus	NCBI: pd_genetable.csv	2	2	ENSANRG00005004814; ENSANRG00005005234	LOC107073883; sls	titin-like; sallimus	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	5	1	1.57377049180328	4	FALSE	TRUE	FALSE		FALSE
N0.HOG0000190	OG0000118	n0	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	caspase-1-like / caspase-like	weighted recurring annotation	caspase-1-like; caspase-like; caspase-1-like; caspase-like	4	LOC127062975; LOC127061589; LOC127064644; LOC127062857	LOC127062975; LOC127061589; LOC127064644; LOC127062857	caspase-1-like	NCBI: vv_genetable.csv	4	4	LOC107065423; LOC107066608; LOC107074031; LOC107074030	LOC107065423; LOC107066608; LOC107074031; LOC107074030	caspase-1-like; caspase-like	NCBI: pd_genetable.csv	4	3	ENSANRG00005005132; ENSANRG00005001463; ENSANRG00005000144	LOC127062975; LOC107065423; LOC107066608; LOC107074030; LOC107074031; LOC127061589; LOC127064644; LOC127062857	caspase-1-like; caspase-1-like; caspase-like	OrthoFinder orthology transfer from: Vespula_vulgaris; OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	3	6	2	3.16666666666667	4	FALSE	TRUE	FALSE		FALSE
N0.HOG0000205	OG0000126	n1	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	unannotated HOG	no usable local annotation		0					0	0					0	0					0	1	1	1	0	FALSE	TRUE	FALSE		FALSE
N0.HOG0000206	OG0000126	n2	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	arrestin domain-containing protein 2-like / arrestin domain-containing protein 3	weighted recurring annotation	arrestin domain-containing protein 17-like; arrestin domain-containing protein 2-like; arrestin domain-containing protein 17; arrestin domain-containing protein 3; arrestin domain-containing protein 2-like; arrestin domain-containing protein 17-like; arrestin domain-containing protein 3; arrestin domain-containing protein 17	3	LOC127063195; LOC127063196; LOC127071992	LOC127063195; LOC127063196; LOC127071992	arrestin domain-containing protein 17-like; arrestin domain-containing protein 2-like; arrestin domain-containing protein 17	NCBI: vv_genetable.csv	3	3	LOC107064617; LOC107064618; LOC107071414	LOC107064617; LOC107064618; LOC107071414	arrestin domain-containing protein 2-like; arrestin domain-containing protein 3	NCBI: pd_genetable.csv	3	2	ENSANRG00005009154; ENSANRG00005008649	LOC107064617; LOC107064618; LOC127063195; LOC127063196; CG1105; LOC107071414; LOC127071992	arrestin domain-containing protein 2-like; arrestin domain-containing protein 17-like; arrestin domain-containing protein 3; arrestin domain-containing protein 17	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris; OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	2	16	1	3.06944444444444	15	FALSE	TRUE	FALSE		FALSE
N0.HOG0000226	OG0000145	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	putative sodium-dependent multivitamin transporter	weighted recurring annotation	putative sodium-dependent multivitamin transporter	3	LOC127068032; LOC127069696; LOC127062230	LOC127068032; LOC127069696; LOC127062230	putative sodium-dependent multivitamin transporter	NCBI: vv_genetable.csv	3	2	LOC107065218; LOC107066307	LOC107065218; LOC107066307	putative sodium-dependent multivitamin transporter	NCBI: pd_genetable.csv	2	3	ENSANRG00005008863; ENSANRG00005009685; ENSANRG00005001273	CG10444; CG32669; LOC107065218; LOC127068032; CG10444; CG32669; LOC107066307; LOC127069696; CG10444; CG32669; LOC127062230	putative sodium-dependent multivitamin transporter	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris; OrthoFinder orthology transfer from: Drosophila_melanogaster; Vespula_vulgaris	3	5	1	2.88888888888889	4	FALSE	TRUE	FALSE		FALSE
N0.HOG0000229	OG0000148	n0	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	angiotensin-converting enzyme-like / angiotensin-converting enzyme Ance-3	weighted recurring annotation	angiotensin-converting enzyme-like; angiotensin-converting enzyme Ance-3	2	LOC127071095; LOC127072993	LOC127071095; Ance-3	angiotensin-converting enzyme-like; angiotensin-converting enzyme Ance-3	NCBI: vv_genetable.csv	2	2	LOC107066708; LOC107065547	LOC107066708; Ance-3	angiotensin-converting enzyme-like; angiotensin-converting enzyme Ance-3	NCBI: pd_genetable.csv	2	3	ENSANRG00005003538; ENSANRG00005004682; ENSANRG00005002651	LOC107066708; LOC127071095; Ance-3	angiotensin-converting enzyme-like; angiotensin-converting enzyme Ance-3	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	3	7	1	2.875	6	FALSE	TRUE	FALSE		FALSE
N0.HOG0000250	OG0000164	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	cytochrome b5-like / Cytochrome b5	weighted recurring annotation	Cytochrome b5; cytochrome b5-like	3	LOC127064024; LOC127064700; LOC127064701	Cyt-b5; LOC127064700; LOC127064701	Cytochrome b5; cytochrome b5-like	NCBI: vv_genetable.csv	3	3	LOC107068984; LOC107067388; LOC107067387	Cyt-b5; LOC107067388; LOC107067387	Cytochrome b5; cytochrome b5-like	NCBI: pd_genetable.csv	3	3	ENSANRG00005005015; ENSANRG00005004172; ENSANRG00005003619	Cyt-b5; LOC107067388; LOC127064700; CG3566; LOC107067387; LOC127064701	Cytochrome b5; cytochrome b5-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris; OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	3	4	1	2.63888888888889	3	FALSE	TRUE	FALSE		FALSE
N0.HOG0000257	OG0000169	n146	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	unannotated HOG	no usable local annotation		0					0	1	LOC107064130	LOC107064130		NCBI: pd_genetable.csv	1	0					0	1	1	1	0	FALSE	TRUE	FALSE		FALSE
N0.HOG0000258	OG0000169	n149	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	DNA helicase activity / PIF1-like helicase	weighted recurring annotation	DNA helicase activity; PIF1-like helicase	0					0	5	LOC107073306; LOC107073666; LOC107073700; LOC107073545; LOC107073747	LOC107073306; LOC107073666; LOC107073700; LOC107073545; LOC107073747	DNA helicase activity; PIF1-like helicase	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	5	0					0	8	1	2.57142857142857	7	FALSE	TRUE	FALSE		FALSE
N0.HOG0000266	OG0000177	n1	0		unchanged	FALSE	FALSE	FALSE	FALSE	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	atrial natriuretic peptide receptor 1-like	weighted recurring annotation	atrial natriuretic peptide receptor 1-like	1	LOC127070851	LOC127070851	atrial natriuretic peptide receptor 1-like	NCBI: vv_genetable.csv	1	1	LOC107068928	LOC107068928	atrial natriuretic peptide receptor 1-like	NCBI: pd_genetable.csv	1	1	ENSANRG00005006333	CG31183; LOC107068928; LOC127070851	atrial natriuretic peptide receptor 1-like	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	1	3	1	1.26760563380282	2	FALSE	TRUE	FALSE		FALSE
N0.HOG0000268	OG0000177	n103	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	CG3216	symbol fallback	CG3216	0					0	0					0	1	ENSANRG00005006638	CG3216		OrthoFinder orthology transfer from: Drosophila_melanogaster	1	13	1	1.45283018867925	12	FALSE	TRUE	FALSE		FALSE
N0.HOG0000280	OG0000189	n0	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	glucosylceramidase / lysosomal acid glucosylceramidase	weighted recurring annotation	lysosomal acid glucosylceramidase; glucosylceramidase; glucosylceramidase; lysosomal acid glucosylceramidase	1	LOC127066885	LOC127066885	lysosomal acid glucosylceramidase	NCBI: vv_genetable.csv	1	1	LOC107074469	LOC107074469	glucosylceramidase	NCBI: pd_genetable.csv	1	2	ENSANRG00005004579; ENSANRG00005001754	LOC107074469; LOC127066885	glucosylceramidase; lysosomal acid glucosylceramidase	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	2	6	1	2.45070422535211	5	FALSE	TRUE	FALSE		FALSE
N0.HOG0000295	OG0000201	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	ankyrin-3-like / nuclear anchorage protein 1-like	weighted recurring annotation	ankyrin-3-like; nuclear anchorage protein 1-like	2	LOC127071287; LOC127072053	LOC127071287; LOC127072053	ankyrin-3-like	NCBI: vv_genetable.csv	2	2	LOC107074551; LOC107067261	LOC107074551; LOC107067261	nuclear anchorage protein 1-like; ankyrin-3-like	NCBI: pd_genetable.csv	2	2	ENSANRG00005003449; ENSANRG00005008044	LOC127071287; LOC107067261; LOC127072053	ankyrin-3-like	OrthoFinder orthology transfer from: Vespula_vulgaris; OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	2	5	1	2.27777777777778	4	FALSE	TRUE	FALSE		FALSE
N0.HOG0000299	OG0000205	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	glutamyl aminopeptidase-like / aminopeptidase A-like	weighted recurring annotation	aminopeptidase A-like; glutamyl aminopeptidase-like; glutamyl aminopeptidase-like; aminopeptidase A-like	2	LOC127067317; LOC127065312	LOC127067317; LOC127065312	aminopeptidase A-like; glutamyl aminopeptidase-like	NCBI: vv_genetable.csv	2	3	LOC107063913; LOC107063631; LOC107063711	LOC107063913; LOC107063631; LOC107063711	glutamyl aminopeptidase-like	NCBI: pd_genetable.csv	3	1	ENSANRG00005008082	CG32473; CG8773; CG8774; LOC107063913; LOC127067317	glutamyl aminopeptidase-like; aminopeptidase A-like	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	1	6	1	2.33802816901408	5	FALSE	TRUE	FALSE		FALSE
N0.HOG0000304	OG0000209	n83	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	sodium leak channel non-selective protein na	weighted recurring annotation	sodium leak channel non-selective protein na	1	LOC127062911	na	sodium leak channel non-selective protein na	NCBI: vv_genetable.csv	1	0					0	2	ENSANRG00005005824; ENSANRG00005007465	na	sodium leak channel non-selective protein na	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	6	1	1.38333333333333	5	FALSE	TRUE	FALSE		FALSE
N0.HOG0000307	OG0000211	n0	0	0.570909	unchanged	FALSE	FALSE	FALSE	FALSE	0	0.586917	unchanged	FALSE	FALSE	FALSE	FALSE	-1	0.0942625	contracted	FALSE	FALSE	TRUE	FALSE	unannotated HOG	no usable local annotation		0					0	0					0	2	ENSANRG00005006156; ENSANRG00005010034				0	25	1	4.61111111111111	24	FALSE	TRUE	FALSE		FALSE
N0.HOG0000338	OG0000236	n6	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	unannotated HOG	no usable local annotation		0					0	0					0	0					0	1	1	1	0	FALSE	TRUE	FALSE		FALSE
N0.HOG0000371	OG0000257	n1	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	ubiquitin-related family	conservative keyword family rule	E3 ubiquitin-protein ligase TRAIP-like; no poles	2	LOC127069359; LOC127065988	LOC127069359; nopo	E3 ubiquitin-protein ligase TRAIP-like; no poles	NCBI: vv_genetable.csv	2	1	LOC107072129	nopo	no poles	NCBI: pd_genetable.csv	1	0					0	4	1	1.87323943661972	3	FALSE	TRUE	FALSE		FALSE
N0.HOG0000372	OG0000257	n133	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	ubiquitin-related family	conservative keyword family rule	E3 ubiquitin-protein ligase TRAIP-like	0					0	0					0	1	ENSANRG00005001118	CG10916; LOC127069359	E3 ubiquitin-protein ligase TRAIP-like	OrthoFinder orthology transfer from: Drosophila_melanogaster; Vespula_vulgaris	1	8	1	2.25	7	FALSE	TRUE	FALSE		FALSE
N0.HOG0000382	OG0000265	n0	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	tubulin family	conservative keyword family rule	tubulin monoglutamylase TTLL4-like; Tubulin-tyrosine ligase family; tubulin polyglutamylase TTLL4-like	2	LOC127066679; LOC127067091	LOC127066679; LOC127067091	tubulin monoglutamylase TTLL4-like; Tubulin-tyrosine ligase family	NCBI: vv_genetable.csv; NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	2	1	LOC107063959	LOC107063959	tubulin polyglutamylase TTLL4-like	NCBI: pd_genetable.csv	1	1	ENSANRG00005005574	LOC127067091	Tubulin-tyrosine ligase family	OrthoFinder orthology transfer from: Vespula_vulgaris	1	5	1	2.14285714285714	4	FALSE	TRUE	FALSE		FALSE
N0.HOG0000393	OG0000273	n0	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	Guanylate-kinase-associated protein (GKAP) protein / disks large-associated protein 4-like	weighted recurring annotation	Guanylate-kinase-associated protein (GKAP) protein; disks large-associated protein 4-like	1	LOC127067219	LOC127067219	Guanylate-kinase-associated protein (GKAP) protein	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	4	LOC107073571; LOC107073780; LOC107068651; LOC107072752	LOC107073571; LOC107073780; LOC107068651; LOC107072752	disks large-associated protein 4-like; Guanylate-kinase-associated protein (GKAP) protein	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	4	4	ENSANRG00005005651; ENSANRG00005006736; ENSANRG00005005664; ENSANRG00005005708	LOC107068651; LOC107072752; LOC107073780; LOC127067219	Guanylate-kinase-associated protein (GKAP) protein	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	4	9	1	2.05555555555556	8	FALSE	TRUE	FALSE		FALSE
N0.HOG0000402	OG0000281	n3	0	0.537541	unchanged	FALSE	FALSE	FALSE	FALSE	1	0.0238536	significantly expanded	TRUE	TRUE	FALSE	FALSE	0	0.533026	unchanged	FALSE	FALSE	FALSE	FALSE	Protein tyrosine phosphatase, catalytic domain / receptor-type tyrosine-protein phosphatase S-like	weighted recurring annotation	receptor-type tyrosine-protein phosphatase S-like; receptor-type tyrosine-protein phosphatase mu-like; Protein tyrosine phosphatase, catalytic domain	1	LOC127061658	LOC127061658	receptor-type tyrosine-protein phosphatase S-like	NCBI: vv_genetable.csv	1	2	LOC107073782; LOC107071032	LOC107073782; LOC107071032	receptor-type tyrosine-protein phosphatase mu-like; Protein tyrosine phosphatase, catalytic domain	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	2	0					0	24	1	2.5	23	FALSE	TRUE	FALSE		FALSE
N0.HOG0000415	OG0000290	n0	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	LTV1 ribosome biogenesis factor / calponin homology domain-containing protein DDB_G0272472-like	weighted recurring annotation	LTV1 ribosome biogenesis factor; calponin homology domain-containing protein DDB_G0272472-like	3	LOC127067572; LOC127067573; LOC127068302	LTV1; LOC127067573; LOC127068302	LTV1 ribosome biogenesis factor; calponin homology domain-containing protein DDB_G0272472-like	NCBI: vv_genetable.csv	3	3	LOC107064876; LOC107064910; LOC107072551	LTV1; LOC107064910; LOC107072551	LTV1 ribosome biogenesis factor	NCBI: pd_genetable.csv	3	1	ENSANRG00005002526	LOC107072551; LOC127068302	calponin homology domain-containing protein DDB_G0272472-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	5	1	2.01388888888889	4	FALSE	TRUE	FALSE		FALSE
N0.HOG0000442	OG0000312	n20	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	cytochrome P450 family	conservative keyword family rule	Cytochrome P450; cytochrome P450 4C1-like	1	LOC127071474	LOC127071474	Cytochrome P450	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	1	LOC107067902	LOC107067902	cytochrome P450 4C1-like	NCBI: pd_genetable.csv	1	0					0	17	1	3.84375	16	FALSE	TRUE	FALSE		FALSE
N0.HOG0000475	OG0000339	n0	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	ribosomal protein family	conservative keyword family rule	ribosomal protein S6; 40S ribosomal protein S6-like; 40S ribosomal protein S6-like; ribosomal protein S6	2	LOC127069294; LOC127069322	RpS6; LOC127069322	ribosomal protein S6; 40S ribosomal protein S6-like	NCBI: vv_genetable.csv	2	2	LOC107074014; LOC107073979	RpS6; LOC107073979	ribosomal protein S6; 40S ribosomal protein S6-like	NCBI: pd_genetable.csv	2	1	ENSANRG00005009959	LOC107073979; RpS6; LOC127069322	40S ribosomal protein S6-like; ribosomal protein S6	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	23	1	1.93055555555556	22	FALSE	TRUE	FALSE		FALSE
N0.HOG0000499	OG0000361	n0	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	malate dehydrogenase, mitochondrial-like / malate dehydrogenase 2	weighted recurring annotation	malate dehydrogenase 2; malate dehydrogenase, mitochondrial-like	2	LOC127063005; LOC127067321	Mdh2; LOC127067321	malate dehydrogenase 2; malate dehydrogenase, mitochondrial-like	NCBI: vv_genetable.csv	2	3	LOC107064505; LOC107068960; LOC107064224	Mdh2; LOC107068960; LOC107064224	malate dehydrogenase 2; malate dehydrogenase, mitochondrial-like	NCBI: pd_genetable.csv	3	1	ENSANRG00005003971	Mdh2	malate dehydrogenase 2	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	4	1	1.97142857142857	3	FALSE	TRUE	FALSE		FALSE
N0.HOG0000534	OG0000391	n0	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	ubiquitin-related family	conservative keyword family rule	Polyubiquitin-63E; ubiquitin	1	LOC127062542	Ubi-p63E	Polyubiquitin-63E	NCBI: vv_genetable.csv	1	2	LOC107071974; LOC107067773	Ubi-p63E; LOC107067773	Polyubiquitin-63E; ubiquitin	NCBI: pd_genetable.csv	2	2	ENSANRG00005006076; ENSANRG00005001365	Ubi-p63E; CG11700; Ubi-p63E	Polyubiquitin-63E	OrthoFinder orthology transfer from: Vespula_vulgaris; OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	2	5	1	1.95652173913043	4	FALSE	TRUE	FALSE		FALSE
