"ortholog","hog_n13","orthogroup","broad_orthogroup","gene_tree_parent_clade","gene_pd","gene_vv","genomic_member_count_pd","genomic_member_count_vv","relationship_class","gene_dmel","gene_dmel_from_pd_str","gene_dmel_from_vv_str","gene_dmel_shared_str","gene_dmel_union_str","dmel_mapping_confidence","symbol_pd","description_pd","genetype_pd","ntranscripts_pd","symbol_vv","description_vv","genetype_vv","ntranscripts_vv","chromosome_vv","accession_vv","start_vv","stop_vv","symbol_dmel","description_dmel","genetype_dmel","highest_tissue_Female","highest_tissue_Larva","highest_tissue_Male","top_log2_enrich_Female","top_log2_enrich_Larva","top_log2_enrich_Male","tau_Female","tau_Larva","tau_Male","identical_symbol_pd_vv","loading_SC","loading_Stage","loading_Species","top_SC","top_SC_pos","top_SC_neg","top_Stage","top_Stage_pos","top_Stage_neg","top_Species","top_Species_pos","top_Species_neg","rank_SC_loading_pos","rank_SC_loading_neg","rank_Stage_loading_pos","rank_Stage_loading_neg","rank_Species_loading_pos","rank_Species_loading_neg","VIP_SC","VIP_Stage","VIP_Species"
"N13.HOG0007430","N13.HOG0007430","N13.HOG0007430","OG0003877","n0","LOC107070287","LOC127068444",1,1,"one_to_one","FBgn0035993","FBgn0035993","FBgn0035993","FBgn0035993","FBgn0035993","shared_pd_and_vv","Nf-YA","nuclear factor Y-box A","PROTEIN_CODING","3","Nf-YA","nuclear factor Y-box A","PROTEIN_CODING","6","13","NC_066598.1","1835575","1839651","Nf-YA","Nuclear factor Y-box A","PROTEIN_CODING","Ovary","Fat Body","Brain","0.386086050805489","0.182960765731811","1.32192775937698","0.338471283783784","0.267369727047146","0.479734219269103",TRUE,-0.00542923665183097,0.00402775131439753,-0.0151493165873683,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,1692,1796,NA,NA,1099,0.749332156301881,0.806132676176902,1.04409459200567
"N13.HOG0007431","N13.HOG0007431","N13.HOG0007431","OG0003878","n0","LOC107067569","LOC127068606",1,1,"one_to_one","FBgn0026418","FBgn0026418","FBgn0026418","FBgn0026418","FBgn0026418","shared_pd_and_vv","Hsc70Cb","heat shock protein 70Cb","PROTEIN_CODING","2","Hsc70Cb","heat shock protein 70Cb","PROTEIN_CODING","2","13","NC_066598.1","2380884","2389251","Hsp110","Heat shock protein 110","PROTEIN_CODING","Ovary","Salivary Gland","Hindgut","0.328272772881066","0.907520560888939","0.640695025499084","0.380340288127173","0.393633910144467","0.210688853364337",TRUE,0.011962632868738,0.001129556922739,0.0153168021516337,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,939,NA,2139,NA,1202,NA,0.800531893887112,0.795423211262053,1.05563773792119
"N13.HOG0007432","N13.HOG0007432","N13.HOG0007432","OG0003879","n0","LOC107067398","LOC127064584",1,1,"one_to_one","FBgn0028427","FBgn0028427","FBgn0028427","FBgn0028427","FBgn0028427","shared_pd_and_vv","Ilk","integrin linked kinase","PROTEIN_CODING","3","Ilk","integrin linked kinase","PROTEIN_CODING","1","6","NC_066591.1","114841","118519","Ilk","Integrin linked kinase","PROTEIN_CODING","Hindgut","Salivary Gland","Hindgut","0.86877427329981","0.976059007280274","0.568970443272013","0.405376990087113","0.262948207171315","0.303457688808007",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0007433","N13.HOG0007433","N13.HOG0007433","OG0003880","n0","LOC107072151, LOC107073569, LOC107073642","LOC127071198",3,1,"many_to_one","FBgn0027841","FBgn0027841","FBgn0027841","FBgn0027841","FBgn0027841","shared_pd_and_vv","CstF64 | LOC107073569 | LOC107073642","cleavage stimulation factor subunit 2 CstF64 | cleavage stimulation factor subunit 2-like | uncharacterized LOC107073642","PROTEIN_CODING","2 | 1","CstF64","cleavage stimulation factor subunit 2 CstF64","PROTEIN_CODING","6","21","NC_066606.1","3278187","3280850","CstF64","Cleavage stimulation factor 64 kD subunit","PROTEIN_CODING","Ovary","Salivary Gland","Midgut","0.283622018242683","1.12457917736788","0.542076498797494","0.565735694822888","0.501451378809869","0.173645320197044",FALSE,0.0186712832144175,-0.00588991463899288,-0.0189519169371038,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,495,NA,NA,1756,NA,474,1.06940229173264,1.01795464030379,1.30617073503301
"N13.HOG0007434","N13.HOG0007434","N13.HOG0007434","OG0003881","n0","LOC107064985","LOC127071887",1,1,"one_to_one","FBgn0023023","FBgn0023023","FBgn0023023","FBgn0023023","FBgn0023023","shared_pd_and_vv","CRMP","Collapsin Response Mediator Protein","PROTEIN_CODING","5","CRMP","Collapsin Response Mediator Protein","PROTEIN_CODING","3","23","NC_066608.1","871700","886372","CRMP","Collapsin Response Mediator Protein","PROTEIN_CODING","Brain","Hindgut","Brain","3.16902126196819","0.143553870362787","2.14349673802494","0.640385217663639","0.576541850220264","0.583673469387755",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0007435","N13.HOG0007435","N13.HOG0007435","OG0003882","n0","LOC107065025","LOC127071894",1,1,"one_to_one","FBgn0031217","FBgn0031217","FBgn0031217","FBgn0031217","FBgn0031217","shared_pd_and_vv","Creld","Cysteine rich with EGF like domains","PROTEIN_CODING","1","Creld","Cysteine rich with EGF like domains","PROTEIN_CODING","1","23","NC_066608.1","347119","348850","Creld","Cysteine rich with EGF like domains","PROTEIN_CODING","Ovary","Salivary Gland","Fat Body","0.366335457629605","1.62372301044674","0.829978076345825","0.312389640965274","0.659214308527627","0.36460940871817",TRUE,-0.00107954577150948,-0.0244484193312395,-0.0134040398968256,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,2307,NA,186,NA,1223,1.19161801750355,1.31013064710442,0.923809697064029
"N13.HOG0007436","N13.HOG0007436","N13.HOG0007436","OG0003883","n0","LOC107071118","LOC127070401",1,1,"one_to_one","FBgn0261274","FBgn0261274","FBgn0261274","FBgn0261274","FBgn0261274","shared_pd_and_vv","Ero1L","endoplasmic reticulum oxidoreductin-1-like protein","PROTEIN_CODING","1","Ero1L","endoplasmic reticulum oxidoreductin-1-like protein","PROTEIN_CODING","1","18","NC_066603.1","2050659","2054797","Ero1L","Endoplasmic reticulum oxidoreductin-1-like","PROTEIN_CODING","Salivary Gland","Midgut","Salivary Gland","2.46268344424569","0.853953903328913","2.07591489658899","0.825365873271148","0.618341708542714","0.810773240660295",TRUE,0.00767545810170955,-0.00437809766756511,0.0166233325883493,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1297,NA,NA,1927,994,NA,0.833508294611552,0.884142066549032,1.14568413410009
"N13.HOG0007437","N13.HOG0007437","N13.HOG0007437","OG0003884","n0","LOC107072140","LOC127071330",1,1,"one_to_one","FBgn0086370","FBgn0086370","FBgn0086370","FBgn0086370","FBgn0086370","shared_pd_and_vv","sra","RRM_RCAN_like domain containing protein Sra","PROTEIN_CODING","2","sra","RRM_RCAN_like domain containing protein Sra","PROTEIN_CODING","7","21","NC_066606.1","1557447","1561278","sra","sarah","PROTEIN_CODING","Ganglion","Midgut","Brain","2.23577126814253","0.90551976807365","1.12370531958719","0.460726495726496","0.590114068441065","0.370573020294469",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0007438","N13.HOG0007438","N13.HOG0007438","OG0003885","n0","LOC107072147","LOC127071331",1,1,"one_to_one","FBgn0029833","FBgn0029833","FBgn0029833","FBgn0029833","FBgn0029833","shared_pd_and_vv","MCTS1","malignant T-cell-amplified sequence 1 homolog","PROTEIN_CODING","1","MCTS1","malignant T-cell-amplified sequence 1 homolog","PROTEIN_CODING","2","21","NC_066606.1","1550524","1552369","MCTS1","Malignant T cell amplified sequence 1","PROTEIN_CODING","Ovary","Salivary Gland","Salivary Gland","0.220874208996779","1.31910150900511","0.724443615317694","0.36608138238573","0.501916562667142","0.182173990393168",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0007439","N13.HOG0007439","N13.HOG0007439","OG0003886","n0","LOC107069512","LOC127066539",1,1,"one_to_one","FBgn0024732, FBgn0028407","FBgn0024732, FBgn0028407","FBgn0024732, FBgn0028407","FBgn0024732, FBgn0028407","FBgn0024732, FBgn0028407","shared_pd_and_vv","LOC107069512","DNA fragmentation factor subunit alpha-like","PROTEIN_CODING","2","LOC127066539","DNA fragmentation factor subunit alpha-like","PROTEIN_CODING","3","9","NC_066594.1","4798600","4805575","Drep1 | Drep3","DNA fragmentation factor-related protein 1 | DNA fragmentation factor-related protein 3","PROTEIN_CODING","Brain","Midgut | Fat Body","Brain","2.46597397218179 | 6.0034529306771","-0.0653759665229992 | -3.85794741560548","2.09953531443858 | 2.25715728295739","0.72539592760181 | 0.924610311750599","0.617549668874172 | 1","0.776948051948052 | 0.93265306122449",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0007440","N13.HOG0007440","N13.HOG0007440","OG0003887","n0","LOC107069444","LOC127064197",1,1,"one_to_one","FBgn0039488","FBgn0039488","FBgn0039488","FBgn0039488","FBgn0039488","shared_pd_and_vv","LOC107069444","UPF0396 protein CG6066","PROTEIN_CODING","1","LOC127064197","NKAP family protein CG6066","PROTEIN_CODING","1","1","NC_066586.1","15321798","15323182","Nkap","NFKB activating protein","PROTEIN_CODING","Ovary","Salivary Gland","Salivary Gland","0.6214882514502","1.04567142339964","0.92101114585991","0.664717741935484","0.574362606232295","0.196660482374768",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0007441","N13.HOG0007441","N13.HOG0007441","OG0003888","n0","LOC107072702","LOC127065079",1,1,"one_to_one","FBgn0027617","FBgn0027617","FBgn0027617","FBgn0027617","FBgn0027617","shared_pd_and_vv","LOC107072702","peptidyl-prolyl cis-trans isomerase-like 4","PROTEIN_CODING","1","LOC127065079","peptidyl-prolyl cis-trans isomerase sig-7","PROTEIN_CODING","1","7","NC_066592.1","1749434","1751471","Ppil4","Peptidyl-prolyl cis/trans isomerase-like 4","PROTEIN_CODING","Ovary","Salivary Gland","Ganglion","0.693110975019189","0.349333827218947","1.21842193703209","0.672685185185185","0.268817204301075","0.343565525383707",FALSE,0.00538522156339892,0.00565057428351185,0.0171592669921113,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1533,NA,1620,NA,899,NA,0.855623015332949,0.92556752232359,1.18262086384697
"N13.HOG0007442","N13.HOG0007442","N13.HOG0007442","OG0003889","n0","LOC107067214","LOC127067617",1,1,"one_to_one","","","","","","none","LOC107067214","cell growth regulator with RING finger domain protein 1-like","PROTEIN_CODING","2","LOC127067617","cell growth regulator with RING finger domain protein 1-like","PROTEIN_CODING","6","11","NC_066596.1","1587452","1624370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0007443","N13.HOG0007443","N13.HOG0007443","OG0003890","n0","LOC107067641","LOC127069098",1,1,"one_to_one","FBgn0035968, FBgn0267429","FBgn0035968, FBgn0267429","FBgn0035968, FBgn0267429","FBgn0035968, FBgn0267429","FBgn0035968, FBgn0267429","shared_pd_and_vv","lovit","loss of visual transmission","PROTEIN_CODING","1","lovit","loss of visual transmission","PROTEIN_CODING","1","14","NC_066599.1","5078066","5081533","Slc45-1 | lovit","Solute carrier family 45 member 1 | loss of visual transmission","PROTEIN_CODING","Tubule | Eye","Tubule | Hindgut","Tubule | Eye","5.16907760702305 | 6.07716733988996","1.59738436002062 | 2.04438045757968","4.19870124158596 | 4.34050064433951","0.960669896261499 | 0.989244249131944","0.72236260265319 | 0.712121212121212","0.97270473392556 | 0.992251557887832",TRUE,-0.0230389857794941,0.0165177806101434,0.00290729709574465,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,294,731,NA,2149,NA,0.959851473115404,0.765462410546426,0.200371624522773
"N13.HOG0007444","N13.HOG0007444","N13.HOG0007444","OG0003891","n0","LOC107067148","LOC127067177",1,1,"one_to_one","FBgn0261938","FBgn0261938","FBgn0261938","FBgn0261938","FBgn0261938","shared_pd_and_vv","mtRNApol","mitochondrial RNA polymerase","PROTEIN_CODING","1","mtRNApol","mitochondrial RNA polymerase","PROTEIN_CODING","2","10","NC_066595.1","2787709","2793730","PolrMT","RNA polymerase mitochondrial","PROTEIN_CODING","Hindgut","Hindgut","Ganglion","0.571099750697617","1.12711123177741","0.452873170240492","0.283448275862069","0.353413654618474","0.198324654743038",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0007445","N13.HOG0007445","N13.HOG0007445","OG0003892","n0","LOC107067673","LOC127063816",1,1,"one_to_one","FBgn0036784, FBgn0037607","FBgn0036784, FBgn0037607","FBgn0036784, FBgn0037607","FBgn0036784, FBgn0037607","FBgn0036784, FBgn0037607","shared_pd_and_vv","LOC107067673","transketolase-like protein 2","PROTEIN_CODING","3","LOC127063816","transketolase-like protein 2","PROTEIN_CODING","2","5","NC_066590.1","1023710","1029696","Tktl | Tkt","Transketolase like | Transketolase","PROTEIN_CODING","Ganglion | Tubule","Fat Body","Fat Body | Tubule","0.415025477170815 | 2.05251439890387","0.0972969825442281 | 3.67455259459893","-3.15933940789673 | 1.83614383845394","0.875 | 0.753343075888469","1 | 0.894745941188489","0.853383458646617 | 0.720072910329127",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0007446","N13.HOG0007446","N13.HOG0007446","OG0003893","n0","LOC107072399","LOC127069890",1,1,"one_to_one","FBgn0043900","FBgn0043900","FBgn0043900","FBgn0043900","FBgn0043900","shared_pd_and_vv","pygo","pygopus","PROTEIN_CODING","2","pygo","pygopus","PROTEIN_CODING","2","17","NC_066602.1","3707067","3715374","pygo","pygopus","PROTEIN_CODING","Ovary","Salivary Gland","Brain","0.501956877811246","0.672596449239264","0.618268427195681","0.680153707052441","0.297528517110266","0.370776526378186",TRUE,0.0142751588229221,0.0269478064453274,-0.000617237393765858,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,774,NA,32,NA,NA,2222,1.18655127515748,1.22479607160928,0.0425401516364085
"N13.HOG0007447","N13.HOG0007447","N13.HOG0007447","OG0003894","n0","LOC107065185","LOC127068924",1,1,"one_to_one","FBgn0034951","FBgn0034951","FBgn0034951","FBgn0034951","FBgn0034951","shared_pd_and_vv","LOC107065185","oxysterol-binding protein-related protein 2","PROTEIN_CODING","4","LOC127068924","oxysterol-binding protein-related protein 2","PROTEIN_CODING","5","14","NC_066599.1","2669481","2675947","CG3860","","PROTEIN_CODING","Brain","Midgut","Brain","1.77077444779177","1.40827432258271","1.61649048953273","0.383140315542128","0.543891499359248","0.344745793054064",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0007448","N13.HOG0007448","N13.HOG0007448","OG0003895","n0","LOC107064123","LOC127068933",1,1,"one_to_one","FBgn0034345","FBgn0034345","FBgn0034345","FBgn0034345","FBgn0034345","shared_pd_and_vv","LOC107064123","uncharacterized LOC107064123","PROTEIN_CODING","1","LOC127068933","tumor protein D54","PROTEIN_CODING","3","14","NC_066599.1","2651286","2666944","CG5174","","PROTEIN_CODING","Hindgut","Salivary Gland","Salivary Gland","0.929058440429899","0.698158256097097","1.07010336844861","0.186920222634508","0.288823529411765","0.255071701624158",FALSE,0.00874810629007421,0.0125791218151113,0.0207549531628041,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1196,NA,975,NA,345,NA,1.13553887187126,1.21800734164169,1.4304364312172
"N13.HOG0007449","N13.HOG0007449","N13.HOG0007449","OG0003896","n0","LOC107070312","LOC127068500",1,1,"one_to_one","FBgn0039417","FBgn0039417","FBgn0039417","FBgn0039417","FBgn0039417","shared_pd_and_vv","LOC107070312","protein HGH1 homolog","PROTEIN_CODING","1","LOC127068500","protein HGH1 homolog","PROTEIN_CODING","1","13","NC_066598.1","2233996","2235780","CG6073","","PROTEIN_CODING","Ovary","Midgut","Midgut","0.47471714727447","0.419084264232075","0.672229212839146","0.58031045751634","0.411764705882353","0.277639751552795",FALSE,-0.000109559882566898,-0.0249550491434791,-0.0101919085279749,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,2452,NA,171,NA,1384,1.13729508697223,1.25082283528146,0.702428820132248
"N13.HOG0007450","N13.HOG0007450","N13.HOG0007450","OG0003897","n0","LOC107066393","LOC127061508",1,1,"one_to_one","FBgn0037709","FBgn0037709","FBgn0037709","FBgn0037709","FBgn0037709","shared_pd_and_vv","BckdhA","Branched chain keto acid dehydrogenase E1 subunit alpha","PROTEIN_CODING","1","BckdhA","Branched chain keto acid dehydrogenase E1 subunit alpha","PROTEIN_CODING","1","2","NC_066587.1","11987041","11989199","Bckdha","Branched chain keto acid dehydrogenase E1 subunit alpha","PROTEIN_CODING","Tubule","Hindgut","Tubule","2.20743889312347","1.69018485529049","2.47449094260727","0.754838542744773","0.365129396151294","0.784257095596923",TRUE,0.025825156585521,-0.0194852394685065,0.00271709624767014,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,181,NA,NA,639,2175,NA,1.10151541736783,0.896443080993567,0.187262935710033
"N13.HOG0007451","N13.HOG0007451","N13.HOG0007451","OG0003898","n0","LOC107073183","LOC127070292",1,1,"one_to_one","FBgn0026181","FBgn0026181","FBgn0026181","FBgn0026181","FBgn0026181","shared_pd_and_vv","LOC107073183","Rho-associated, coiled-coil containing protein kinase 2","PROTEIN_CODING","6","LOC127070292","Rho-associated, coiled-coil containing protein kinase 2","PROTEIN_CODING","4","18","NC_066603.1","269320","277436","Rok","Rho kinase","PROTEIN_CODING","Salivary Gland","Midgut","Salivary Gland","0.295752344742225","1.24792732361532","0.935819497777544","0.379181735985534","0.435406698564593","0.475430395621936",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0007452","N13.HOG0007452","N13.HOG0007452","OG0003899","n0","LOC107069532","LOC127070799",1,1,"one_to_one","FBgn0031379","FBgn0031379","FBgn0031379","FBgn0031379","FBgn0031379","shared_pd_and_vv","LOC107069532","uncharacterized protein KIAA2013 homolog","PROTEIN_CODING","1","LOC127070799","uncharacterized protein KIAA2013 homolog","PROTEIN_CODING","3","19","NC_066604.1","3023351","3027508","CG7289","","PROTEIN_CODING","Salivary Gland","Salivary Gland","Salivary Gland","1.17637990334648","1.41355235748085","0.918627516508327","0.398148148148148","0.534886714727085","0.478605033231275",FALSE,-3.09810646990296e-05,-0.0130718858625305,0.0196804730393684,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,2463,NA,1089,505,NA,1.07310912211659,1.18023376376723,1.35638299919426
"N13.HOG0007453","N13.HOG0007453","N13.HOG0007453","OG0003900","n0","LOC107073079","LOC127070580",1,1,"one_to_one","FBgn0038722","FBgn0038722","FBgn0038722","FBgn0038722","FBgn0038722","shared_pd_and_vv","Nup58","nuclear pore complex protein Nup58","PROTEIN_CODING","3","Nup58","nuclear pore complex protein Nup58","PROTEIN_CODING","11","18","NC_066603.1","1266297","1269222","Nup58","Nucleoporin 58kD","PROTEIN_CODING","Ovary","Salivary Gland","Fat Body","0.453318438368985","0.793548783437734","-1.12653208012958","0.793524416135881","0.548878205128205","0.305952380952381",TRUE,0.0285076144749012,-0.00331387964133274,0.0142250126082917,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,109,NA,NA,2068,1305,NA,1.0662857321179,0.752404951534367,0.980391336458953
"N13.HOG0007454","N13.HOG0007454","N13.HOG0007454","OG0003901","n0","LOC107065506","LOC127061420",1,1,"one_to_one","FBgn0051357","FBgn0051357","FBgn0051357","FBgn0051357","FBgn0051357","shared_pd_and_vv","Kaz","Katazuke","PROTEIN_CODING","1","Kaz","Katazuke","PROTEIN_CODING","1","2","NC_066587.1","1597980","1600114","Kaz","Katazuke","PROTEIN_CODING","Hindgut","Midgut","Tubule","0.884316828401753","1.60183175746628","1.24937756814503","0.405844155844156","0.70772787318362","0.309731126208018",TRUE,0.0137106836220965,0.00382843239795871,-0.0154273960979018,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,814,NA,1822,NA,NA,1058,0.841533052146468,0.818200912472418,1.06325989965642
"N13.HOG0007455","N13.HOG0007455","N13.HOG0007455","OG0003902","n0","LOC107067073","LOC127066962",1,1,"one_to_one","FBgn0261985","FBgn0261985","FBgn0261985","FBgn0261985","FBgn0261985","shared_pd_and_vv","Ptpmeg","protein tyrosine phosphatase Meg","PROTEIN_CODING","2","Ptpmeg","protein tyrosine phosphatase Meg","PROTEIN_CODING","6","10","NC_066595.1","2852373","2859412","Ptpmeg","Protein tyrosine phosphatase Meg","PROTEIN_CODING","Midgut","Midgut","Midgut","1.13570715775998","1.85068841493993","1.41261679394263","0.422224257969952","0.762931034482759","0.452545879812882",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0007456","N13.HOG0007456","N13.HOG0007456","OG0003903","n0","LOC107063760","LOC127068901",1,1,"one_to_one","FBgn0035103","FBgn0035103","FBgn0035103","FBgn0035103","FBgn0035103","shared_pd_and_vv","Vdup1","arrestin family protein Vdup1","PROTEIN_CODING","2","Vdup1","arrestin family protein Vdup1","PROTEIN_CODING","1","14","NC_066599.1","1311884","1316710","Vdup1","Vitamin D[[3]] up-regulated protein 1","PROTEIN_CODING","Hindgut","Hindgut","Salivary Gland","3.64869325667006","1.23828544480719","2.02631955790049","0.8338405356056","0.867869285984133","0.777128358479453",TRUE,-0.000622589872118623,-0.0171502453852504,-0.0174039964186623,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,2382,NA,814,NA,717,1.08388024332651,1.19191864556149,1.19948767558022
"N13.HOG0007457","N13.HOG0007457","N13.HOG0007457","OG0003904","n0","LOC107066015","LOC127071355",1,1,"one_to_one","FBgn0030720","FBgn0030720","FBgn0030720","FBgn0030720","FBgn0030720","shared_pd_and_vv","LOC107066015","pre-rRNA processing protein FTSJ3","PROTEIN_CODING","1","LOC127071355","pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3","PROTEIN_CODING","3","21","NC_066606.1","1094393","1099780","CG8939","","PROTEIN_CODING","Ovary","Salivary Gland","Salivary Gland","0.43102007595152","1.00204762342995","0.628683682147191","0.63162951575711","0.564539007092199","0.221393034825871",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0007458","N13.HOG0007458","N13.HOG0007458","OG0003905","n0","LOC107064248","LOC127064399",1,1,"one_to_one","FBgn0036104","FBgn0036104","FBgn0036104","FBgn0036104","FBgn0036104","shared_pd_and_vv","LOC107064248","ATP-dependent RNA helicase DDX42","PROTEIN_CODING","3","LOC127064399","ATP-dependent RNA helicase DDX42","PROTEIN_CODING","2","1","NC_066586.1","5306240","5309970","CG6418","","PROTEIN_CODING","Brain","Hindgut","Brain","0.582695818492378","0.799385520817263","1.55290103022792","0.312631027253669","0.303545051698671","0.392857142857143",FALSE,0.00423524212184185,0.00489718586361278,-0.0190222143339432,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1674,NA,1704,NA,NA,463,0.926863428131731,1.01059113596701,1.31101564875892
"N13.HOG0007459","N13.HOG0007459","N13.HOG0007459","OG0003906","n0","LOC107070994","LOC127062513",1,1,"one_to_one","FBgn0028411","FBgn0028411","FBgn0028411","FBgn0028411","FBgn0028411","shared_pd_and_vv","Nxt1","NTF2-related export protein 1","PROTEIN_CODING","1","Nxt1","NTF2-related export protein 1","PROTEIN_CODING","4","3","NC_066588.1","5276517","5278683","Nxt1","NTF2-related export protein 1","PROTEIN_CODING","Ovary","Salivary Gland","Tubule","0.306290053017206","0.468353290285962","0.437757535823339","0.830358390387034","0.476509353741497","0.235044642857143",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0007460","N13.HOG0007460","N13.HOG0007460","OG0003907","n0","LOC107070762","LOC127069011",1,1,"one_to_one","FBgn0039153","FBgn0039153","FBgn0039153","FBgn0039153","FBgn0039153","shared_pd_and_vv","GatB","glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial","PROTEIN_CODING","1","GatB","glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial","PROTEIN_CODING","5","14","NC_066599.1","4889111","4892410","GatB","Glutamyl-tRNA amidotransferase, subunit B","PROTEIN_CODING","Ganglion","Fat Body","Ganglion","0.667224422837182","1.33032777260251","1.3896869229926","0.329746462264151","0.351233671988389","0.429316252048265",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0007461","N13.HOG0007461","N13.HOG0007461","OG0003908","n0","LOC107074516","LOC127066876",1,1,"one_to_one","FBgn0033738","FBgn0033738","FBgn0033738","FBgn0033738","FBgn0033738","shared_pd_and_vv","LOC107074516","ubiquitin carboxyl-terminal hydrolase 35-like","PROTEIN_CODING","1","DUBAI","Deubiquitinating apoptotic inhibitor","PROTEIN_CODING","1","10","NC_066595.1","4156163","4160234","DUBAI","Deubiquitinating apoptotic inhibitor","PROTEIN_CODING","Ganglion","Midgut","Ganglion","0.467422036665993","1.22594133019602","-0.165826920756522","0.331686046511628","0.367117117117117","0.234344065853913",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0007462","N13.HOG0007462","N13.HOG0007462","OG0003909","n0","LOC107074534","LOC127066886",1,1,"one_to_one","FBgn0263199","FBgn0263199","FBgn0263199","FBgn0263199","FBgn0263199","shared_pd_and_vv","Galk","N-acetylgalactosamine kinase","PROTEIN_CODING","3","Galk","N-acetylgalactosamine kinase","PROTEIN_CODING","4","10","NC_066595.1","4132596","4141578","Galk","Galactokinase","PROTEIN_CODING","Fat Body","Salivary Gland","Fat Body","3.44685820678282","2.34397408865974","2.48535186693172","0.819877904123037","0.544058408862034","0.800067612973445",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
