HOG	OG	Gene Tree Parent Clade	Acromyrmex_echinatior.clean	Ancistrocerus_nigricornis.clean	Andrena_flavipes.clean	Anoplius_nigerrimus.clean	Apis_cerana.clean	Apis_dorsata.clean	Apis_florea.clean	Apis_laboriosa.clean	Apis_mellifera.clean	Atta_cephalotes.clean	Belonocnema_kinseyi.clean	Bombus_campestris.clean	Bombus_hortorum.clean	Bombus_hypnorum.clean	Bombus_impatiens.clean	Bombus_lapidarius.clean	Bombus_monticola.clean	Bombus_muscorum.clean	Bombus_pascuorum.clean	Bombus_pratorum.clean	Bombus_sylvestris.clean	Bombus_terrestris.clean	Bombus_vestalis.clean	Buathra_laborator.clean	Caenorhabditis_elegans.clean	Camponotus_floridanus.clean	Ceratina_calcarata.clean	Colletes_latitarsis.clean	Copidosoma_floridanum.clean	Dolichovespula_media.clean	Dolichovespula_saxonica.clean	Dolichovespula_sylvestris.clean	Drosophila_melanogaster.clean	Dufourea_novaeangliae.clean	Eufriesea_mexicana.clean	Gasteruption_jaculator.clean	Habropoda_laboriosa.clean	Halictus_rubicundus.clean	Harpegnathos_saltator.clean	Lasioglossum_calceatum.clean	Lasioglossum_lativentre.clean	Lasioglossum_morio.clean	Linepithema_humile.clean	Macropis_europaea.clean	Megachile_rotundata.clean	Megalopta_genalis.clean	Melipona_bicolor.clean	Melipona_quadrifasciata.clean	Mischocyttarus_mexicanus.clean	Monomorium_pharaonis.clean	Nasonia_vitripennis.clean	Nysson_spinosus.clean	Ooceraea_biroi.clean	Orussus_abietinus.clean	Osmia_bicornis_bicornis.clean	Pemphredon_lugubris.clean	Polistes_canadensis.clean	Polistes_dominula.clean	Polistes_exclamans.clean	Polistes_fuscatus.clean	Solenopsis_invicta.clean	Tetragonisca_angustula.clean	Tiphia_femorata.clean	Tribolium_castaneum.clean	Venturia_canescens.clean	Vespa_crabro.clean	Vespa_mandarinia.clean	Vespa_velutina.clean	Vespula_germanica.clean	Vespula_pensylvanica.clean	Vespula_vulgaris.clean	Xylocopa_sonorina.clean
N55.HOG0006401	OG0004492	n0					LOC108001292	LOC102676301		LOC122720247	LOC552182																																																															
N55.HOG0006402	OG0004493	n0					LOC107995314	LOC102676601		LOC122718547	LOC100577288																																																															
N55.HOG0006403	OG0004494	n0					LOC108001146	LOC102676685		LOC122710392	LOC410225																																																															
N55.HOG0006404	OG0004495	n0					LOC108004434	LOC102670621		LOC122717788	LOC410245																																																															
N55.HOG0006405	OG0004496	n0					LOC107992986	LOC102680981		LOC122717757	LOC724498																																																															
N55.HOG0006406	OG0004497	n0					LOC108003750	LOC102681503		LOC122717746	LOC413242																																																															
N55.HOG0006407	OG0004498	n0					LOC108001183	LOC102677298		LOC122710358	LOC410238																																																															
N55.HOG0006408	OG0004499	n0					LOC107993049	LOC102674612		LOC122720346	LOC100576247																																																															
N55.HOG0006409	OG0004500	n0					LOC107998294	LOC102678474		LOC122715393	LOC724542																																																															
N55.HOG0006410	OG0004501	n0					LOC107992903	LOC102679346		LOC122719268	LOC409489																																																															
N55.HOG0006411	OG0004502	n0					LOC108004309	LOC102680666		LOC122715783	ecd																																																															
N55.HOG0006412	OG0004503	n0					LOC108004404	LOC102673189		LOC122715497	LOC552443																																																															
N55.HOG0006413	OG0004504	n0					LOC108002006	LOC102680704		LOC122715804	LOC409251																																																															
N55.HOG0006414	OG0004505	n0					LOC107996409	LOC102679133		LOC122714486	LOC412011																																																															
N55.HOG0006415	OG0004506	n0					LOC108000110	LOC102672420		LOC122713554	LOC411719																																																															
N55.HOG0006416	OG0004507	n0					LOC108000635	LOC102671171		LOC122711190	LOC551882																																																															
N55.HOG0006417	OG0004508	n0					LOC108000662	LOC102672808		LOC122711093	LOC412617																																																															
N55.HOG0006418	OG0004509	n0					LOC108003094	LOC102679383		LOC122719442	LOC107965534																																																															
N55.HOG0006419	OG0004510	n0					LOC107994620	LOC102673035		LOC122711351	LOC413285																																																															
N55.HOG0006420	OG0004511	n0					LOC107994618	LOC102673254		LOC122711350	LOC727312																																																															
N55.HOG0006421	OG0004512	n0					LOC107999871	LOC102681496		LOC122711116	LOC727128																																																															
N55.HOG0006422	OG0004513	n0					LOC107999901	LOC102680427		LOC122711331	LOC410556																																																															
N55.HOG0006423	OG0004514	n0					LOC107995651	LOC102679948		LOC122720092	LOC408809																																																															
N55.HOG0006424	OG0004515	n0					LOC108004103	LOC102678527		LOC122714136	LOC727354																																																															
N55.HOG0006425	OG0004516	n0					LOC107997104	LOC102671794		LOC122716396	LOC724510																																																															
N55.HOG0006426	OG0004517	n0					LOC107995794	LOC102672992		LOC122717928	LOC413144																																																															
N55.HOG0006427	OG0004518	n0					LOC107995889	LOC102677399		LOC122717910	LOC724877																																																															
N55.HOG0006428	OG0004519	n0					LOC107992953	LOC102673604		LOC122718360	LOC551622																																																															
N55.HOG0006429	OG0004520	n0					LOC107993065	LOC102677076		LOC122718352	LOC410685																																																															
N55.HOG0006430	OG0004521	n0					LOC108003595	LOC102678642		LOC122720680	LOC551156																																																															
N55.HOG0006431	OG0004522	n0					LOC107998481	LOC102680725		LOC122710552	LOC412236																																																															
N55.HOG0006432	OG0004523	n0					LOC107999081	LOC102671350		LOC122719761	LOC412457																																																															
N55.HOG0006433	OG0004524	n0					LOC108000128	LOC102671030		LOC122712492	LOC102654465																																																															
N55.HOG0006434	OG0004525	n0					LOC108002082	LOC102680296		LOC122719788	LOC413137																																																															
N55.HOG0006435	OG0004526	n0					LOC108002240	LOC102679588		LOC122719772	LOC413139																																																															
N55.HOG0006436	OG0004527	n0					LOC107995944	LOC102674660		LOC122718320	LOC413429																																																															
N55.HOG0006437	OG0004528	n0					LOC107995901	LOC102675612		LOC122717876	LOC552804																																																															
N55.HOG0006438	OG0004529	n0					LOC107995754	LOC102674313		LOC122718035	LOC726522																																																															
N55.HOG0006439	OG0004530	n0					LOC107995339	LOC102672191		LOC122718486	LOC412200																																																															
N55.HOG0006440	OG0004531	n0					LOC107997091	LOC102676380		LOC122711571	LOC551809																																																															
N55.HOG0006441	OG0004532	n0					LOC107999005	LOC102677705		LOC122721001	LOC725855																																																															
N55.HOG0006442	OG0004533	n0					LOC107999862	LOC102678692		LOC122711143	LOC100576608																																																															
N55.HOG0006443	OG0004534	n0					LOC107997452	LOC102672030		LOC122714559	LOC724125																																																															
N55.HOG0006444	OG0004535	n0					LOC108000116	LOC102672421		LOC122713591	LOC100578112																																																															
N55.HOG0006445	OG0004536	n0					LOC108000994	LOC102673163		LOC122711352	LOC726723																																																															
N55.HOG0006446	OG0004537	n0					LOC108000143	LOC102671284		LOC122713624	LOC727236																																																															
N55.HOG0006447	OG0004538	n0					LOC108000112	LOC102680775		LOC122713635	LOC411795																																																															
N55.HOG0006448	OG0004539	n0					LOC107998217	LOC102671211		LOC122712216	LOC102655392																																																															
N55.HOG0006449	OG0004540	n0					LOC107998185	LOC102674965		LOC122712276	LOC409968																																																															
N55.HOG0006450	OG0004541	n0					LOC108004267	LOC102678734		LOC122718415	LOC726708																																																															
N55.HOG0006451	OG0004542	n0					LOC107999575	LOC102671007		LOC122719251	LOC552434																																																															
N55.HOG0006452	OG0004543	n0					LOC107997482	LOC102671590		LOC122712750	LOC412009																																																															
N55.HOG0006453	OG0004544	n0					LOC107997483	LOC102671379		LOC122712748	LOC412010																																																															
N55.HOG0006454	OG0004545	n0					LOC107994860	LOC102676811		LOC122712632	LOC727596																																																															
N55.HOG0006455	OG0004546	n0					LOC107997053	LOC102670611		LOC122716425	LOC410076																																																															
N55.HOG0006456	OG0004547	n0					LOC107997052	LOC102681491		LOC122716416	LOC411404																																																															
N55.HOG0006457	OG0004548	n0					LOC107998194	LOC102680414		LOC122712235	LOC551509																																																															
N55.HOG0006458	OG0004549	n0					LOC107998192	LOC102680198		LOC122712233	LOC551538																																																															
N55.HOG0006459	OG0004550	n0					LOC107999749	LOC102671237		LOC122713114	LOC725566																																																															
N55.HOG0006460	OG0004551	n0					LOC107994273	LOC102678414		LOC122714487	LOC409411																																																															
N55.HOG0006461	OG0004552	n0					LOC107996338	LOC102677358		LOC122714462	LOC412665																																																															
N55.HOG0006462	OG0004553	n0					LOC107993013	LOC102673545		LOC122714058	LOC551840																																																															
N55.HOG0006463	OG0004554	n0					LOC108003451	LOC102679718		LOC122711562	LOC552400																																																															
N55.HOG0006464	OG0004555	n0					LOC107997886	LOC102678495		LOC122714950	LOC725128																																																															
N55.HOG0006465	OG0004556	n0					LOC107997752	LOC102680532		LOC122716251	LOC552535																																																															
N55.HOG0006466	OG0004557	n0					LOC108001331	LOC102672400		LOC122720207	LOC409414																																																															
N55.HOG0006467	OG0004558	n0					LOC108001293	LOC102673729		LOC122720252	LOC100576359																																																															
N55.HOG0006468	OG0004559	n0					LOC107997922	LOC102681340		LOC122714754	LOC726139																																																															
N55.HOG0006469	OG0004560	n0					LOC107997927	LOC102680766		LOC122714818	LOC726216																																																															
N55.HOG0006470	OG0004561	n0					LOC107993772	LOC102673481		LOC122719391	LOC413074																																																															
N55.HOG0006471	OG0004562	n0					LOC107993771	LOC102672995		LOC122719390	LOC413073																																																															
N55.HOG0006472	OG0004563	n0					LOC107994710	LOC102680737		LOC122713598	LOC551383																																																															
N55.HOG0006473	OG0004564	n0					LOC107995105	LOC102671571		LOC122718201	LOC409396																																																															
N55.HOG0006474	OG0004565	n0					LOC107995108	LOC102672199		LOC122718060	LOC412750																																																															
N55.HOG0006475	OG0004566	n8					LOC107995169	LOC102672574		LOC122717875	LOC552753																																																															
N55.HOG0006476	OG0004567	n0					LOC107995079	LOC102676097		LOC122717993	LOC552791																																																															
N55.HOG0006477	OG0004568	n0					LOC107995144	LOC102675003		LOC122718282	LOC410253																																																															
N55.HOG0006478	OG0004569	n0					LOC108000383	LOC102676241		LOC122711684	LOC413179																																																															
N55.HOG0006479	OG0004570	n0					LOC108004210	LOC102679662		LOC122714814	LOC725477																																																															
N55.HOG0006480	OG0004571	n0					LOC107999334	LOC102681868		LOC122716712	LOC412372																																																															
N55.HOG0006481	OG0004572	n0					LOC107999333	LOC102681998		LOC122716711	LOC412371																																																															
N55.HOG0006482	OG0004573	n0					LOC108000901	LOC102677197		LOC122714138	LOC412045																																																															
N55.HOG0006483	OG0004574	n0					LOC108003450	LOC102679178		LOC122711409	ATP5G2																																																															
N55.HOG0006484	OG0004575	n0					LOC108000592	LOC102675462		LOC122713285	LOC411299																																																															
N55.HOG0006485	OG0004576	n0					LOC107999652	LOC102673559		LOC122718967	LOC413898																																																															
N55.HOG0006486	OG0004577	n0					LOC108000124	LOC102675485, LOC102680070		LOC122713638	LOC550884																																																															
N55.HOG0006487	OG0004578	n0					LOC108000126	LOC102675343		LOC122713641	LOC550926																																																															
N55.HOG0006488	OG0004579	n0					LOC108000125	LOC102675072		LOC122713640	LOC409494																																																															
N55.HOG0006489	OG0004580	n0					LOC108000153	LOC102672550		LOC122713574	LOC412606																																																															
N55.HOG0006490	OG0004581	n0					LOC107997611	LOC102676899		LOC122715386	LOC100578215																																																															
N55.HOG0006491	OG0004582	n0					LOC107998089	LOC102671890		LOC122712229	LOC551654																																																															
N55.HOG0006492	OG0004583	n0					LOC107999790	LOC102681099		LOC122713139	LOC413614																																																															
N55.HOG0006493	OG0004584	n0					LOC107999776	LOC102674426		LOC122713094	LOC409366																																																															
N55.HOG0006494	OG0004585	n0					LOC108001711	LOC102680027		LOC122717300	LOC551718																																																															
N55.HOG0006495	OG0004586	n0					LOC107999745	LOC116184943		LOC122713107	LOC410657																																																															
N55.HOG0006496	OG0004587	n0					LOC107998993	LOC102681067		LOC122720923	LOC410387																																																															
N55.HOG0006497	OG0004588	n0					LOC108001721	LOC102671831		LOC122717066	LOC411435																																																															
N55.HOG0006498	OG0004589	n0					LOC107994362	LOC102680473		LOC122714966	LOC411103																																																															
N55.HOG0006499	OG0004590	n0					LOC107992620	LOC102675936		LOC122717074	LOC550929																																																															
N55.HOG0006500	OG0004591	n0					LOC108004156	LOC102673629		LOC122711439	LOC413663																																																															
N55.HOG0006501	OG0004592	n0					LOC107994319	LOC102677811		LOC122716736	LOC727599																																																															
N55.HOG0006502	OG0004593	n0					LOC107996017	LOC102678594		LOC122714524	LOC550780																																																															
N55.HOG0006503	OG0004594	n0					LOC107993369	LOC102681155		LOC122718548	LOC726190																																																															
N55.HOG0006504	OG0004595	n0					LOC107999124	LOC102672577		LOC122718857	LOC725965																																																															
N55.HOG0006505	OG0004596	n0					LOC107993027	LOC102672436		LOC122716527	LOC100578132																																																															
N55.HOG0006506	OG0004597	n0					LOC107994749	LOC102670643		LOC122718314	LOC409373																																																															
N55.HOG0006507	OG0004598	n0					LOC108001681	LOC102677597		LOC122717293	LOC411597																																																															
N55.HOG0006508	OG0004599	n0					LOC108003530	LOC102677590		LOC122720698	LOC408589																																																															
N55.HOG0006509	OG0004600	n0					LOC108003204	LOC102679539		LOC122718405	LOC551207																																																															
N55.HOG0006510	OG0004601	n0					LOC108003206	LOC102679656		LOC122718436	LOC551281																																																															
N55.HOG0006511	OG0004602	n0					LOC108003211	LOC102681816		LOC122718442	LOC408572																																																															
N55.HOG0006512	OG0004603	n0					LOC107995912	LOC102671633		LOC122718044	LOC409839																																																															
N55.HOG0006513	OG0004604	n0					LOC107995998	LOC102671421		LOC122717938	LOC413260																																																															
N55.HOG0006514	OG0004605	n0					LOC107995934	LOC102681037		LOC122718224	LOC552700																																																															
N55.HOG0006515	OG0004606	n0					LOC107997887	LOC102676681		LOC122710771	LOC552502																																																															
N55.HOG0006516	OG0004607	n0					LOC108001966	LOC102670846		LOC122710772	LOC724875																																																															
N55.HOG0006517	OG0004608	n0					LOC107997844	LOC102678353		LOC122710785	LOC409103																																																															
N55.HOG0006518	OG0004609	n0					LOC107996858	LOC102677058		LOC122720474	LOC550664																																																															
N55.HOG0006519	OG0004610	n0					LOC107999535	LOC102678038, LOC116186038		LOC122711956, LOC122711957	LOC552556																																																															
N55.HOG0006520	OG0004611	n0					LOC107998704	LOC102679777		LOC122711369	LOC726791																																																															
N55.HOG0006521	OG0004612	n0					LOC107997184	LOC102678299		LOC122711467	LOC410106																																																															
N55.HOG0006522	OG0004613	n0					LOC107998908	LOC102676035		LOC122720991	LOC552705																																																															
N55.HOG0006523	OG0004614	n0					LOC107998733	LOC102681168		LOC122715156	LOC410097																																																															
N55.HOG0006524	OG0004615	n0					LOC107994423	LOC102681776		LOC122714933	LOC725628																																																															
N55.HOG0006525	OG0004616	n0					LOC107996462	LOC102672968		LOC122717022	LOC413625																																																															
N55.HOG0006526	OG0004617	n0					LOC108003381	LOC102681786		LOC122711539	CTL5																																																															
N55.HOG0006527	OG0004618	n0					LOC107998351	LOC102674643		LOC122720999	LOC551034																																																															
N55.HOG0006528	OG0004619	n0					LOC107998382	LOC102674517		LOC122720998	LOC552712																																																															
N55.HOG0006529	OG0004620	n0					LOC107998032, LOC133667388	LOC102676495		LOC122713823	LOC726494																																																															
N55.HOG0006530	OG0004621	n0					LOC107995116	LOC102674483		LOC122718308	LOC552145																																																															
N55.HOG0006531	OG0004622	n0					LOC107995145	LOC102675311		LOC122718010	LOC410348																																																															
N55.HOG0006532	OG0004623	n0					LOC107995146	LOC102677480		LOC122718011	LOC410350																																																															
N55.HOG0006533	OG0004624	n0					LOC108001701	LOC102681834		LOC122717358	LOC409991																																																															
N55.HOG0006534	OG0004625	n0					LOC108004165	LOC102675977		LOC122711458	LOC411775																																																															
N55.HOG0006535	OG0004626	n0					LOC107999934	LOC102677079		LOC122717052	LOC552310																																																															
N55.HOG0006536	OG0004627	n0					LOC107997696	LOC102671962		LOC122716408	LOC725323																																																															
N55.HOG0006537	OG0004628	n0					LOC108002183	LOC102673553		LOC122715868	LOC551960																																																															
N55.HOG0006538	OG0004629	n0					LOC108001398	LOC102679177		LOC122720203	LOC725337																																																															
N55.HOG0006539	OG0004630	n0					LOC107994224	LOC102680140		LOC122714532	LOC727153																																																															
N55.HOG0006540	OG0004631	n0					LOC107992459	LOC102678958, LOC116186722		LOC122717670	LOC410133																																																															
N55.HOG0006541	OG0004632	n0					LOC108003157	LOC102671951		LOC122716598	LOC552104																																																															
N55.HOG0006542	OG0004633	n0					LOC107995230	LOC102677026		LOC122720344	LOC100576993																																																															
N55.HOG0006543	OG0004634	n0					LOC107996109	LOC102673213		LOC122719734	LOC724481																																																															
N55.HOG0006544	OG0004635	n0					LOC108003408	LOC102678149		LOC122712499	LOC726726																																																															
N55.HOG0006545	OG0004636	n0					LOC108002470	LOC102677045		LOC122717469	LOC551613																																																															
N55.HOG0006546	OG0004637	n6					LOC107993554	LOC102672317		LOC122719545	LOC551432																																																															
N55.HOG0006547	OG0004638	n0					LOC108000951	LOC102677577		LOC122716014	LOC412521																																																															
N55.HOG0006548	OG0004639	n0					LOC107996908	LOC102678364		LOC122720406	LOC409092																																																															
N55.HOG0006549	OG0004640	n0					LOC107994960	LOC102677555		LOC122712452	LOC413813																																																															
N55.HOG0006550	OG0004641	n0					LOC108002975	LOC102677268		LOC122714403	Crzr																																																															
N55.HOG0006551	OG0004642	n0					LOC108002565	LOC102674480		LOC122712774	LOC409607																																																															
N55.HOG0006552	OG0004643	n0					LOC108004305	LOC102679337		LOC122715920	LOC552181																																																															
N55.HOG0006553	OG0004644	n0					LOC108000941	LOC102677664		LOC122711783	LOC411905																																																															
N55.HOG0006554	OG0004645	n0					LOC107998037	LOC102680367		LOC122713743	LOC552452																																																															
N55.HOG0006555	OG0004646	n0					LOC108002325	LOC102672660		LOC122712840	LOC410610																																																															
N55.HOG0006556	OG0004647	n10					LOC108002324	LOC102672537		LOC122712839	LOC408525																																																															
N55.HOG0006557	OG0004648	n0					LOC107994546	LOC102678920		LOC122713789	LOC726666																																																															
N55.HOG0006558	OG0004649	n0					LOC107996325	LOC102671173		LOC122712849	LOC725505																																																															
N55.HOG0006559	OG0004650	n0					LOC108001579	LOC102676295		LOC122716755	LOC409706																																																															
N55.HOG0006560	OG0004651	n0					LOC107995125	LOC102673058		LOC122717988	LOC552738																																																															
N55.HOG0006561	OG0004652	n0					LOC108001305	LOC102680021		LOC122720204	LOC552720																																																															
N55.HOG0006562	OG0004653	n0					LOC108003195	LOC102672044		LOC122711526	LOC409969																																																															
N55.HOG0006563	OG0004654	n0					LOC108002842	LOC102672429		LOC122711527	LOC413029																																																															
N55.HOG0006564	OG0004655	n0					LOC108003457	LOC102680594		LOC122711455	LOC102655877																																																															
N55.HOG0006565	OG0004656	n0					LOC108003105	LOC102677988		LOC122719406	LOC552424																																																															
N55.HOG0006566	OG0004657	n0					LOC107995977	LOC102678466		LOC122718310	LOC411735																																																															
N55.HOG0006567	OG0004658	n0					LOC107999506	LOC102678555		LOC122711986	LOC410207																																																															
N55.HOG0006568	OG0004659	n0					LOC107998398	LOC102678922		LOC122720947	LOC726802																																																															
N55.HOG0006569	OG0004660	n0					LOC107994401	LOC102675568		LOC122714938	LOC411758																																																															
N55.HOG0006570	OG0004661	n0					LOC107992488	LOC102680492		LOC122713316	LOC107964998																																																															
N55.HOG0006571	OG0004662	n0					LOC108000696	LOC102677683		LOC122712938	LOC408517																																																															
N55.HOG0006572	OG0004663	n0					LOC108000729	LOC102681540		LOC122712940	LOC410595																																																															
N55.HOG0006573	OG0004664	n0					LOC107994169	LOC102681813		LOC122718900	LOC551398																																																															
N55.HOG0006574	OG0004665	n0					LOC107995290	LOC102674654		LOC122718534	LOC726586																																																															
N55.HOG0006575	OG0004666	n0					LOC107994970	LOC102674721		LOC122713222	LOC725720																																																															
N55.HOG0006576	OG0004667	n0					LOC107995476	LOC102672396		LOC122719432	LOC725291																																																															
N55.HOG0006577	OG0004668	n0					LOC107993177	LOC102680302		LOC122719024	LOC411750																																																															
N55.HOG0006578	OG0004669	n0					LOC108000097	LOC102674053		LOC122717424	LOC551599																																																															
N55.HOG0006579	OG0004670	n0					LOC108001821	LOC102674455		LOC122719906	LOC552841																																																															
N55.HOG0006580	OG0004671	n0					LOC108002337	LOC102674050		LOC122719722	LOC411006																																																															
N55.HOG0006581	OG0004672	n0					LOC108004058	LOC102678727		LOC122712113	LOC725099																																																															
N55.HOG0006582	OG0004673	n0					LOC107996915	LOC102680954		LOC122720593	LOC100578715																																																															
N55.HOG0006583	OG0004674	n0					LOC108000263	LOC102679341		LOC122710832	LOC552288																																																															
N55.HOG0006584	OG0004675	n0					LOC107994553	LOC102674336		LOC122713600	LOC413728																																																															
N55.HOG0006585	OG0004676	n0					LOC107993396	LOC102671648		LOC122716200	LOC552256																																																															
N55.HOG0006586	OG0004677	n0					LOC107993394	LOC102672096		LOC122716205	LOC408416																																																															
N55.HOG0006587	OG0004678	n0					LOC107993404	LOC102671250		LOC122716189	LOC410434																																																															
N55.HOG0006588	OG0004679	n0					LOC107996194	LOC102672428		LOC122716060	LOC411843																																																															
N55.HOG0006589	OG0004680	n0					LOC107999242	LOC102675264		LOC122716610	LOC725632																																																															
N55.HOG0006590	OG0004681	n0					LOC107992711			LOC122716490	LOC100577692																																																															
N55.HOG0006591	OG0004682	n0					LOC107997623	LOC102670937		LOC122714689	LOC724974																																																															
N55.HOG0006592	OG0004683	n0					LOC107997354	LOC102670936		LOC122712323	LOC551216																																																															
N55.HOG0006593	OG0004684	n0					LOC107994680	LOC102681929		LOC122713279	LOC724578																																																															
N55.HOG0006594	OG0004685	n0					LOC107999180	LOC102677169		LOC122718927	LOC409450																																																															
N55.HOG0006595	OG0004686	n0					LOC108004508	LOC102675915		LOC122717405	LOC409457																																																															
N55.HOG0006596	OG0004687	n0					LOC107999156	LOC102673474		LOC122718811	LOC727375																																																															
N55.HOG0006597	OG0004688	n0					LOC107993847	LOC102679938		LOC122712596	LOC410091																																																															
N55.HOG0006598	OG0004689	n0					LOC107997286	LOC102677649		LOC122712625	LOC412850																																																															
N55.HOG0006599	OG0004690	n0					LOC107997078	LOC102674864		LOC122716432	LOC410973																																																															
N55.HOG0006600	OG0004691	n0					LOC107997064	LOC102676218		LOC122716420	LOC725829																																																															
N55.HOG0006601	OG0004692	n0					LOC107997103	LOC102677148		LOC122716399	LOC410970																																																															
N55.HOG0006602	OG0004693	n0					LOC107998272	LOC102673923		LOC122715036	LOC552420																																																															
N55.HOG0006603	OG0004694	n0					LOC108002122	LOC102678298		LOC122719774	LOC726024																																																															
N55.HOG0006604	OG0004695	n0					LOC107995750	LOC102677495		LOC122718016	LOC100579040																																																															
N55.HOG0006605	OG0004696	n0					LOC107995991	LOC102677631		LOC122718054	LOC411433																																																															
N55.HOG0006606	OG0004697	n0					LOC107993194	LOC102680218		LOC122716274	LOC412762																																																															
N55.HOG0006607	OG0004698	n0					LOC107999336	LOC102674259		LOC122716674	LOC552617																																																															
N55.HOG0006608	OG0004699	n36					LOC107996664	LOC102672638		LOC122711422	LOC725764																																																															
N55.HOG0006609	OG0004700	n0					LOC107993007	LOC102675358		LOC122714059	LOC411417																																																															
N55.HOG0006610	OG0004701	n0					LOC107994968	LOC102679045		LOC122713310	LOC552530																																																															
N55.HOG0006611	OG0004702	n0					LOC107997678	LOC102680172		LOC122715339	LOC725362																																																															
N55.HOG0006612	OG0004703	n0					LOC107997686	LOC102680388		LOC122714922	LOC552574																																																															
N55.HOG0006613	OG0004704	n0					LOC107997761	LOC102681380		LOC122716346	LOC724179																																																															
N55.HOG0006614	OG0004705	n0					LOC107998245	LOC102672155		LOC122712246	LOC413689																																																															
N55.HOG0006615	OG0004706	n0					LOC107998075	LOC102672300		LOC122712300	LOC410027																																																															
N55.HOG0006616	OG0004707	n0					LOC107998227	LOC102673067		LOC122712207	LOC411903																																																															
N55.HOG0006617	OG0004708	n0					LOC107993005	LOC102681626		LOC122714096	LOC725948																																																															
N55.HOG0006618	OG0004709	n0					LOC133666703	LOC102673269		LOC122713354	LOC552514																																																															
N55.HOG0006619	OG0004710	n0					LOC107992750	LOC102677507		LOC122716494	LOC726756																																																															
N55.HOG0006620	OG0004711	n0					LOC108003431	LOC102680071		LOC122711410	LOC410085																																																															
N55.HOG0006621	OG0004712	n0					LOC108003444	LOC102679604		LOC122711464	LOC724519																																																															
N55.HOG0006622	OG0004713	n0					LOC108003447	LOC102679398		LOC122711569	LOC551603																																																															
N55.HOG0006623	OG0004714	n0					LOC108001187	LOC102678254		LOC122710420	LOC408301																																																															
N55.HOG0006624	OG0004715	n0					LOC108001174	LOC102679541		LOC122710362	LOC412305																																																															
N55.HOG0006625	OG0004716	n0					LOC107994921	LOC102680037		LOC122712244	LOC409749																																																															
N55.HOG0006626	OG0004717	n0					LOC107994537	LOC102671596		LOC122719637	LOC725084																																																															
N55.HOG0006627	OG0004718	n0					LOC107994542	LOC102672320		LOC122719647	LOC412842																																																															
N55.HOG0006628	OG0004719	n0					LOC108002468	LOC102678765		LOC122717737	LOC412379																																																															
N55.HOG0006629	OG0004720	n0					LOC108002589	LOC102674115		LOC122717198	LOC551296																																																															
N55.HOG0006630	OG0004721	n0					LOC108002239	LOC102672480		LOC122714220	LOC726237																																																															
N55.HOG0006631	OG0004722	n0					LOC108004148	LOC102680831		LOC122713244	LOC724440																																																															
N55.HOG0006632	OG0004723	n0					LOC108004133	LOC102681352		LOC122713245	LOC100577561																																																															
N55.HOG0006633	OG0004724	n0					LOC108000734	LOC102675577		LOC122713771	LOC727228																																																															
N55.HOG0006634	OG0004725	n0					LOC107992789	LOC102679814		LOC122713296	LOC412880																																																															
N55.HOG0006635	OG0004726	n0					LOC107997404	LOC102673718		LOC122712973	LOC409613																																																															
N55.HOG0006636	OG0004727	n0					LOC108000944	LOC102679022		LOC122710610	LOC414015																																																															
N55.HOG0006637	OG0004728	n0					LOC107994480	LOC102673104		LOC122714712	LOC408842																																																															
N55.HOG0006638	OG0004729	n0					LOC107994457	LOC102676393		LOC122714798	LOC409867																																																															
N55.HOG0006639	OG0004730	n0					LOC108002107	LOC102673556		LOC122715993	LOC410050																																																															
N55.HOG0006640	OG0004731	n0					LOC108002164	LOC102673371		LOC122715781	LOC413551																																																															
N55.HOG0006641	OG0004732	n0					LOC108002274	LOC102673521		LOC122713050	LOC408527																																																															
N55.HOG0006642	OG0004733	n42					LOC107998695	LOC102671790, LOC102680284		LOC122711241	LOC100576128																																																															
N55.HOG0006643	OG0004734	n0					LOC107997914	LOC102680708		LOC122710770	LOC410726																																																															
N55.HOG0006644	OG0004735	n0					LOC108002902	LOC102681610		LOC122711496	LOC552555																																																															
N55.HOG0006645	OG0004736	n0					LOC107995241	LOC102676314		LOC122717533	LOC412259																																																															
N55.HOG0006646	OG0004737	n0					LOC107994954	LOC102670880		LOC122712594	LOC409360																																																															
N55.HOG0006647	OG0004738	n0					LOC107993430	LOC102679705		LOC122721129	LOC413040																																																															
N55.HOG0006648	OG0004739	n0					LOC107993426	LOC102677120		LOC122721146	LOC411482																																																															
N55.HOG0006649	OG0004740	n0					LOC108002186	LOC102676283		LOC122715709	LOC552185																																																															
N55.HOG0006650	OG0004741	n0					LOC108004275	LOC102676161		LOC122718386	LOC727229																																																															
N55.HOG0006651	OG0004742	n0					LOC107994846	LOC102675035		LOC122712795	LOC724234																																																															
N55.HOG0006652	OG0004743	n0					LOC107994908	LOC102675305		LOC122712397	LOC409957																																																															
N55.HOG0006653	OG0004744	n0					LOC108002798	LOC102676658		LOC122718805	LOC411765																																																															
N55.HOG0006654	OG0004745	n0					LOC108002933	LOC102677075		LOC122718502	LOC552595																																																															
N55.HOG0006655	OG0004746	n0					LOC108002910	LOC102677819		LOC122717225	LOC411906																																																															
N55.HOG0006656	OG0004747	n0					LOC107992502	LOC102681513		LOC122717455	LOC413208																																																															
N55.HOG0006657	OG0004748	n0					LOC108002771	LOC102670600		LOC122713852	LOC410040																																																															
N55.HOG0006658	OG0004749	n0					LOC107993345	LOC102671396		LOC122713848	LOC409137																																																															
